tundma	*tundes
et	et
käsi	kääd
saama	said
märg	*märjäst
käsi	kääd
saama	said
ema	ema
veri	verest
märg	*märjäss
ja	ja
siis	siis
võtma	*võt'tis
hakkama	*akkas
teine	teist
tüdruk	*tütrukku
kisendama	kisendama
kes	*kellega
tulema	tuli
et	ett
tulema	tule
Pouline	*Pouline
tagasi	tagasi
tulema	tule
tagasi	tagasi
et	et
e	e
et	et
e	e
ema	ema
ei	ei
rääkima	*räägi
meie	*meije
ema	ema
olema	on
ära	ära
tapma	*tappettud
mina	minu
sõrm	*sõrmed
saama	*saivad
kõik	kõik
verine	verisest
ja	ja
siis	siis
jaa	jaa
kole	kole
lugu	lugu
jah	jahh
kolm	kolm
noor	nuort
mees	mest
üks	ühe
kord	kõrraga
surma	*surma
saama	*saaned
aga	aga
see	seda
ei	ei
e	e
ah	ahh
see	sie
vist	vist
olema	oli
leht	lehes
see	sie
vist	vist
leht	lehes
jah	jah
aga	aga
muidu	muidu
ei	eij
olema	ole
ju	ju
nii+sugune	*nii+sust
asi	*asja
ei	ei
olema	ole
ju	ju
miski	midagi
nii+sugune	niist
uus	*uuwema
aeg	aa
asi	*asja
uus	*uuwemat
asi	*asja
et	ett
olema	onn
leht	*lehtedes
üleval	ülevel
aga	a
enne	*enne
ikka	*ikke
kuulduma	*kuulus
kui	kui
olema	õli
miski	midagi
siis	sis
olema	oli
leht	*lehtedes
siis	sis
ikka	*ikke
kuulduma	*kuulus
mitu	*mitmed
asi	*asjad
aga	aga
aga	aga
nüüd	nüüd
ei	ei
nüüd	nüd
ei	ei
kuulduma	*kuulu
no	no
mina	mina
teadma	tiand
mis	mis
see	se
vaenu+köis	*vainu+köis
olema	õli
aga	aga
mina	maa
ise	ise
lahutama	lahuttasin
ka	kaa
see	seda
aga	aga
mina	maa
ei	i
teadma	tiand
et	et
tema	ta
vaenu+köis	*vainu+köis
enne	*enne
kui	ku
pärast	perast
kuulma	*kuulsin
noh	nohh
see	se
olema	oli
üks	ühed
pisikene	pisikkesed
siede	*sietted
olema	õlivad
teine	*tõisest
ots	*otsast
olema	õli
lai	*laijemb
teine	*tõisest
ots	*otsast
olema	õli
kitsas	*kitsamb
see	seda
ütlema	*üeldakse
pidama	pidi
vaenu+köis	*vainu+köis
olema	õlema
aga	aga
ega	ega
mina	mina
teadma	*tiedand
mina	maa
olema	õlin
siis	siis
plika+kene	*plikkakkene
mina	maa
vahtima	*vahtisin
et	et
mis	mis
see	sie
valge	*valge
olema	õli
võtma	*võtsin
sõrm	*sõrmega
lahutama	lahuttasin
kõik	kõik
laiali	*laijali
mina	maa
ei	i
teadma	tiand
et	ett
tema	ta
miski	*miski
niisukene	*niisikene
asi	asi
olema	õli
noh	nohh
see	seda
rääkima	*räägivad
et	et
kes	kess
kes	kess
e	e
vaenu+köis	*vaeno+köit
olema	onn
lahutama	lahuttand
et	et
see	*selle
käsi	kääd
pidama	*piavad
olema	õlema
arstlik	*arstlikkud
käsi	kääd
et	ett
kui	kui
tema	tema
mis	miss
asi	*asja
tema	temaa
triikima	*triigib
või	vai
või	vai
masseerima	*massierib
või	vaij
et	et
siis	siis
pidama	piab
see	*sellele
see	*selle
järel	järel
praavima	*praavima
nii	nii
mina	ma
olema	olen
kuulma	*kuulnud
mina	maa
ei	i
teadma	tia
kas	kas
see	sel
õigus	*õigust
olema	onn
või	vaij
ei	ei
olema	ole
see	seda
ei	ei
teadma	tia
ei	ei
mina	mina
olema	ole
mina	mina
ei	ij
olema	ole
miski	midagi
teadma	tiand
proovima	*pruovida
aga	aga
kui	kui
inimene	inimesel
häda	äda
ei	eij
olema	ole
ega	ega
siis	siis
inimene	inimene
ei	ei
proovima	*pruovi
ka	kaa
miski	midagi
aga	aga
no	no
nüüd	nüüd
olema	onn
ikka	*ikke
olema	õlen
jalg	*jalgu
küll	küll
triikima	*triikkind
jalg	jalad
olema	onn
haige	*aiged
aga	aga
miski	midagi
ei	en
tundma	*tunne
et	et
abi	abi
saama	saan
mis	miss
see	*sellega
kaitus	*kaittuse
kaitus	*kaittused
korjama	*korjatti
suitsetama	*suitsettatti
et	ett
et	ett
kui	kui
kui	kui
olema	onn
e	e
kui	kui
teine	*tõine
sõnama	sõnab
miski	midagist
et	ett
et	et
siis	siis
pidama	piab
siis	siis
pidama	piab
see	sie
aitama	*aittama
kas	kass
kas	kass
loom	*luomal
miski	*miski
või	vai
kana	kanadel
miski	*miski
või	vai
miski	*miski
olema	onn
kõige	*kõige
vähem	vähämat
et	ett
siis	siis
pidama	piab
seal	sial
e	e
kaitus	*kaittussed
põlema	põlema
panema	panema
ja	ja
siis	siis
seal	sial
peal	pial
siis	s
pidama	piab
suitsetama	*suitsettama
et	et
siis	siis
pidama	piab
terve	*terveks
saama	*saama
noh	nohh
üks	ühed
väike	*veikset
rohi	rohud
olema	*onvad
liiv	*liiva
maa	maas
kasvama	*kasvavad
vat	vat
seal	sial
meie	meil
surnu+aed	*surnu+aija
juures	*juures
seal	sial
seal	sial
