mh	mh
traat	traadiga
veel	viil
kah	kahh
kui	ku
muidu	mud'u
kukkuma	kukkust
ju	ju
e	e
tukk	tukkid
kui	kui
tema	ta
juba	juba
hakkama	`akkas
ära	ära
lõppema	`lõppema
tukk	tukkid
paat	`paatti
või	või
siia	`siija
sinna	`sinna
kaela	`kaela
oma	omal
saama	sai
see	sel
siis	s
traat	traad'idega
veel	veel
ära	ära
põimima	põimittud
ka	ka
keerdu	`kiirdu
ümber	`ümmer
et	et
tema	ta
nõnda	nõnda
seoke	seokst
tukk	tukkid
sina	sule
kaela	`kaela
es	ess
kukkuma	kukku
ja	ja
see	see
olema	`ol'li
jälle	`jälle
üks	üks
kes	kiss
kui	kui
toostama	`toostamas
jalgsi	jala
saama	sai
käima	`käidud
siis	siis
üks	üks
olema	`ol'li
kes	kiss
see	seda
tookse+raud	`tookse+`rauda
kandma	`kan'dis
ja	ja
kaks	kaks
mees	miist
jälle	`jälle
kõrval	`kõrvas
jälle	`jälle
kes	kiss
kui	kui
olema	`ol'li
angerjas	angerji
jälle	`jälle
angerjas	angerji
tapma	`tapsid
ahing	ahingaga
see	se
olema	`ol'li
olema	`ol'li
olema	`ol'li
naa+sama	na+sama
pool+viltu	puul+`viltta
oma	oma
ees	ees
et	et
tema	ta
siis	sis
ei	ei
tule+säde	tule+sädemed
sina	sull
kaela	`kaela
es	ess
kukkuma	kukku
olema	`ol'li
plank+vaga	plank+vaga
ilm	ilm
ja	ja
käima	käisid
püsti	`püs'ti
ja	ja
ja	ja
see	sii
tookse+raud	`tookse+rauwa
ots	ots
olema	`ol'li
siin	sii
vastu	`vasta
rind	`rindu
ja	ja
ja	ja
põlema	põless
tuli	tuli
sedasi	sedasi
ees	iis
ja	ja
tema	ta
tegema	tegi
jälle	jälle
vesi	vii
et	et
sina	sa
ära	ära
nägema	nägid
ees	ees
kes	kiss
see	see
tapja	`tappaead
olema	ol'lid
ja	ja
ise	isi
nägema	nägid
kah	kahh
ja	ja
olema	`ol'li
siis	siss
kui	kue
nemad	nad
saama	said
sealt	säält
saama	sai
e	e
mõni	mõne
angerjas	angerja
kätte	`kätte
no	no
siis	siis
olema	ol'li
üks	ühe
kaelas	`kaelas
jälle	`jälle
kott	kot't
ja	ja
muud+kui	muut+ku
pistma	pistet'ti
kott	kot't
nigu	nigu
siin	si
kott	kot'tid
olema	on
need	ned
pistma	pistetti
kott	`kot'ti
ja	ja
olema	ol'li
siin	sii
käes	käe
ja	ja
minema	`lähti
jälle	`jälle
edasi	edesi
ikka	`ikke
sedasi	sedasi
nh	nh
aeh	aehh
seal	sääl
Tahku	`Tahkus
kui	ku
mina	ma
tädi	tädil
sulane	sulaseks
olema	`ol'li
siis	siis
meie	me
käima	käesime
teine	teese
mees	mehega
saama	saeme
nii+palju	nii+baelu
nagu	nagu
olema	`ol'li
hobune	obuse
pea+kott	piä+kot't
nagu	nagu
hobune	obustel
panema	`pandaks
keri	keri
pea	pähä
olema	`ol'li
väga	väga
väike	`väikke
kott	kot't
hakkama	`akkast
nii+palju	nii+baelu
kott	kot'tid
juba	juba
täis	täis
olema	ol'li
ka	ka
püha+päevane	pühäppäne
õhtu	`õhta
olema	`ol'li
ja	ja
minema	läksin
ja	ja
saama	saeme
nii	nii
palju	paelu
angerjas	angerji
siis	siiss
meie	mede
õu	`õuwes
jaotama	`jaottasim
seal	sääl
siis	sis
olema	ol'lime
kallama	kallasime
sinna	`sinna
maha	maha
need	ned
nd+samma	nd+samma
kast	`kas'ti
olema	`ol'li
kui	ku
öösel	`ööse
ja	ja
olema	`ol'lid
mõni	mõned
ja	ja
meie	meil
olema	ol'li
suur	suur
kivi+hunnik	kivi+unik
õu	`õuwes
olema	ol'li
mõni	mõned
olema	ol'lid
naa	naa
teine	teese
päev	pääva
veel	veel
päeval	`pääva
leidma	`leitsi
sealt	säält
kivi+hunnik	kivi+unikku
all	all
kivi	kivide
vahelt	vahelt
sealt	säält
mõni	mõne
kes	kiss
olema	ol'lid
ära	ära
ronima	ronind
öösel	`üüsi
ju	ju
es	es
es	ess
nägema	näe
nagu	nagu
ja	ja
olema	ol'lid
ära	ära
ronima	ronind
sinna	`sinna
kivi	kivide
vahel	vahel
ja	ja
nemad	nemad
olema	ol'lid
nii+palju	nii+paelu
elus	elus
angerjas	angerjas
olema	on
ju	ju
visa	visa
hing	ingega
et	et
tema	täl
küll	küll
olema	on
ahing	ahengaga
nüüd	nüid
sinna	sõnna
auk	augud
sisse	sisse
lööma	`lüüdud
ja	ja
olema	`ol'li
haige	`aiged
saama	saanud
aga	aga
tema	tema
elama	elab
kaua	kauwa
naa+sama	nä+sama
kui	ku
uss	us's
uss	us's
uss	us's
ju	ju
ka	ka
tema	tema
elama	elab
kui	kui
sina	sa
tema	tänd
olema	põle
hästi	`äs'ti
ära	ära
pea	pääd
puruks	puruks
peksma	`peksnud
tema	tema
elama	elab
ka	ka
kaua	kauwa
tapma	`tapnud
ja	ja
kui	kui
tema	tema
ära	ära
surema	sureb
siis	siss
see	se
kift	kift
mis	miss
olema	on
lööma	lööb
händ	änna
ots	otsasse
kokku	`kokku
saba	saba
ots	otsasse
kõik	kõik
kokku	`kokku
siis	sis
olema	on
see	see
nii	nii
kollane	`kolne
see	se
see	see
kift	kift
mis	miss
olema	on
see	see
olema	on
üks	üks
imelik	imelik
asi	asi
siis	sis
lööma	lüüb
kohe	kohe
mis	miss
kiftine	kiftine
uss	us's
olema	on
lööma	lüüb
see	selle
kift	kifti
puha	puha
taha	taha
händ	änna
ots	otsasse
kokku	`kokku
kui	kui
tema	ta
ära	ära
surema	sureb
m	m
see	seda
olema	olen
mina	mina
nägema	näenud
ja	ja
kui	ku
mina	ma
tapma	`tapnud
need	neid
olema	ole
vana+ema	vana+ema
et	et
kui	kui
nemad	nad
alles	alles
tulema	tulnud
siia	siija
siis	siis
olema	onn
käima	käinud
siin	siin
olema	on
kaera+põld	kaera+põld
olema	olnd
ja	ja
siin	siin
kaer	`kaeras
ja	ja
aga	aga
peale	`peale
see	selle
olema	pole
tema	teda
enam	änam
nägema	`nähtud
esimene	esimese
aasta	`aasta
olema	on
olema	olnu
karu	karu
ja	ja
rohkem	`rohkem
ei	ei
olema	ole
tema	ta
käima	käinu
aga	aga
siis	siis
kui	kui
nemad	nad
alles	alles
asuma	asunud
see	seda
maja	maea
ehitama	ehettand
siis	siis
olema	on
olema	olnud
käima	käisid
siin	siin
see	selle
põld	põllu
peal	pel
taga	taga
otsas	`otsas
kus	kuss
mina	mina
lehm+ki	lehmaga+ki
hommikuti	ommikkutti
käima	`käisin
üks+kord	üks+kord
nägema	nägin
üks	ühe
ja	ja
kord	kord
nägema	nägin
ka	ka
neli	neli
tükk	`tükki
üks	üks
olema	oli
üsna	üsna
pisike+ne	pisikke+ne
alles	alles
mina	mina
ei	ei
võima	või
ütlema	üttelda
kas	kas
tema	ta
olema	`ol'li
tämindine	tämindine
või	või
olema	ol'i
mineva+aastane	minev+`aastane
ja	ja
nüüd	nüid
mina	ma
ei	ei
olema	ole
trehvama	`trehvand
nägema	nägema
muu	muut
kui	kui
kits	kitsid
nemad	neid
olema	on
olema	olnud
mets	metsast
tulema	tulevad
ja	ja
mets	`metsa
minema	lähevad
need	need
mets+loom	metsa+loomad
talvel	talvel
need	näid
ei	ei
olema	ole
siin	siin
ainult	aenult
kevadine	kevadisel
ajal	aeal
nemad	nad
jooksma	jooksevad
kauge	`kaugemal
mets	metsades
sinna	`senna
panema	`pandaks
nemad	neile
viht	`vihtu
tegema	teevad
jahi+mees	jahi+mehed
puu	puu
oks	`okstist
ja	ja
viima	`viidakse
siis	siss
kuskile	`kus'kile
mets	`metsa
kaugele	`kaugele
siit	siit
üks	üks
kümme	kümme
viis+teist	viis+teist
kilo+meeter	kilo+meettert
peale	`peale
see	selle
ei	ei
olema	ole
miski	midagi
rebane	rebane
käima	käib
vahel	vahel
kana	kanu
norgama	`norgamas
jah	jahh
noh	nohh
nemad	neid
ju	ju
lendama	`lendab
ee	e
kevad	kevad'is
pool	pol
ei	ei
olema	ole
nemad	neid
aga	aga
sügis	sügis
pool	pol
olema	on
kull	kul'lid
nägema	näha
kana	kana
varas	`vargal
kull	`kul'la
olema	on
mitu	`mitmed
moodi	`moodu
olema	onn
ka	kaa
suur	`suuri
ja	ja
olema	onn
ka	kaa
väike	`väikkeisi
nemad	neid
olema	`ol'li
rohkem	`rohkem
aga	aga
nüüd	nüid
jahi+mees	jahi+mehed
laskma	lasevad
nemad	nad
maha	maha
rohkem	`rohkem
olema	`ol'li
juhus	juhus
sui	sui
hein	eena
aeg	aeg
mina	mull
olema	`ol'lid
kana	kanad
siin+samas	siin+samas
aken	`akna
all	all
ja	ja
mees	mees
tooma	tõi
hein	`einu
ja	ja
ajama	aeas
teine	`teisest
noh	nohh
olema	`ol'li
vana	vana
tuba	tua
aeg	aeg
aga	a
mitte	`mitte
see	selle
tuba	tua
aeg	aeg
ja	ja
saama	sai
hõikama	õegattud
et	et
kull	kul'l
kana	kanade
kallal	kallal
jooksma	`jooksis
ruttu	`ruttu
tuba	`tuppa
võtma	`võt'tis
püss	püs'si
ja	ja
tulema	tul'i
tuba	toa
otsa	`otsa
ja	ja
tema	taa
olema	ol'i
võtma	`võtnud
siin+samas	siin+samas
puu	puu
all	all
ee	e
kraav	kraavis
kana	kana
kinni	`kin'ni
ja	ja
olema	`ol'li
räsima	räsind
olema	`ol'li
tükk	tükk
maa	maad
põõsas	põõsastega
taga	taga
ajama	aeand
rubelema	rubelend
see	selle
kana	kanaga
aga	aga
siin	siin
lage	lagedama
peale	pääle
olema	`ol'li
tema	ta
kätte	`kätte
saama	saanu
ja	ja
olema	`ol'li
istuma	`istund
nii	nii
rahulikult	rahulikkult
seal	sääl
kana	kana
peal	peal
ja	ja
mees	mees
olema	`ol'li
tema	ta
maha	maha
laskma	`lasnu
ee	e
kull	kul'li
sealt	säält
aga	aga
kana	kana
olema	`ol'li
alla	`alla
terve	`terveks
jääma	jäänu
ee	e
tooma	tõi
sisse	`sisse
aga	aga
siis	siis
ainult	aenult
siit	siit
ä	ä
hari	arja
pealt	pält
olema	oli
natuke	nattukkese
auk	augu
sisse	`sisse
lööma	löönu
aga	aga
kana	kana
jääma	jäi
ellu	eluse
panema	pan'nin
vesi	vett
peale	`peale
natuke	nattukke
külm	`kül'ma
vesi	vett
no	no
et	et
ää	ää
see	see
see	se
kohkumine	`kohkumise
vaev	vaev
üle	üle
minema	läks
tema	tal
ja	ja
ja	ja
aga	aga
see	see
kull	kul'l
olema	`ol'li
siis	siss
nõnda	nõnda
ütlema	üttelda
tiib	tiivad
laiali	laijali
tõmbama	tõmmatti
nii	nii
suur	suured
tiib	tiivad
olema	`ol'lid
sedasi	sedase
laiali	laijali
no	no
siuke	`seukke
kull	kul'l
olema	`ol'li
mis	miss
kana	kanu
ära	ära
murdma	murrab
laane+kull	laane+`kul'la
ka	kaa
ja	ja
hakkama	`akkas
kana	kanu
taga	taga
ajama	aeama
ja	ja
meie	meil
olema	ol'i
kuur	kuur
ja	ja
praht	prah't
olema	ol'li
maas	maas
seal	seal
ja	ja
tema	ta
pugema	puges
ikka	ikka
kana	kanadel
järgi	`järgi
mina	mina
saama	sain
siis	siss
ka	kaa
jaole	`jaole
võtma	`võt'sin
tema	tall
tiib	tiivadest
kinni	kin'ni
ja	ja
mõtlema	`mõtlesin
et	et
see	sellega
olema	onn
nüüd	nüid
kõik	kõik
ja	ja
võtma	`võt'sin
tiib	tiivadest
kinni	kin'ni
ja	ja
lööma	lõin
vastu	`vasta
uks	ust
nõnda	nõnda
seina	`seina
viskama	`viskasin
aga	aga
see	see
ei	ei
olema	olnud
mitte	`mitte
tema	tall
surma+hoop	surma+oobiks
ja	ja
libe	libedad
tiib	tiivad
kõva	kõvad
libe	libedad
tiib	tiivad
libisema	libises
mina	münu
käest	käest
lahti	`lahti
ja	ja
panema	`pan'ni
õue	`õvve
jooksma	`joosma
jooksma	`jooksin
järgi	`järgi
küll	küll
aga	aga
enam	änam
kätte	`kätte
ei	ei
saama	saand
tema	ta
olema	onn
hall	al'l
ja	ja
must	musta
valge	`valget
ä	ä
siuke	`seukke
hall	`al'li
valge	`valget
kirju	kirjud
ja	ja
vat	vat
see	seda
mina	mina
ei	ei
teadma	tea
murdma	`murdis
palju	paelu
koer	`koeri
ära	ära
meie	meil
siit	siit
kõrvalt	kõrvalt
no	noo
ää	ää
teie	teil
ehk	ehk
rääkima	räägittaks
piiri+mees	piiri+mees
aga	aga
meie	me
rääkima	räägime
naaber	`naaber
ja	ja
see	sell
ajal	aeal
olema	`ol'lid
kolhoos	koloosi
lammas	`lambad
meie	meil
karjatama	karjattada
ja	ja
need	need
olema	`ol'lid
tema	tema
laut	`lauttas
seal	seal
naaber	`naabri
laut	`lauttas
ja	ja
siis	siis
öösi	`öösi
olema	`ol'li
viima	viinud
see	selle
koer	koera
ära	ära
hunt	un't
see	seda
põld	`põldu
mööda	`mööda
tema	ta
olema	`ol'li
nemad	neid
taga	taga
ajama	aeand
pere+mees	pere+mees
ütlema	`ütles
et	et
tema	ta
kuulma	`kuulnud
küll	küll
et	et
koer	koer
õige	`õige
haledasti	aledasti
haukuma	`aukkunud
haukuma	`aukkund
ja	ja
haukuma	`aukkund
ja	ja
tema	tema
olema	põle
teadma	`teadnud
miski	midagi
see	sellest
et	et
olema	oleks
koer	koerale
abi	`appi
minema	läinud
ja	ja
tema	ta
narrima	`narrind
koer	koera
põld	põllu
peale	päle
ja	ja
seal	sääl
püüdma	`püidnud
koer	koera
kinni	`kin'ni
ja	ja
olema	`ol'li
mets	`metsa
viima	viinu
meie	me
vaatama	`vaattasim
siis	siss
need	neid
jälg	`jäl'ga
ja	ja
kus	kuss
tema	ta
olema	`ol'li
tema	ta
ära	ära
murdma	`murdnud
ja	ja
nemad	neid
olema	`ol'li
seal	sääl
siis	siss
õige	`õigend
palju	paelu
olema	olnd
kui	kui
nemad	nad
käima	käisid
olema	`ol'lid
miski	midagi
vahel	vahel
neli	neli
tükk	`tükki
troppis	`troppis
ja	ja
kolm	kolm
tükk	`tük'ki
olema	`ol'li
jälle	jälle
aga	aga
nemad	nad
ei	ei
olema	olnud
siis	siss
sinna	`sinna
lamba+laut	`lamma+lauda
juurde	juure
saama	saanud
see	see
olema	`ol'li
seoke	`seokke
katkine	`kat'kise
müür	müiriga
laut	laut
et	et
olema	oleks
veel	vel
lammas	`lamba
ära	ära
viima	viinud
ja	ja
peale	`peale
see	selle
siis	siss
hakkama	akkatti
nemad	neid
ära	ära
hävitama	ävittama
ja	ja
kuskilt	`kus'kilt
olema	`ol'li
siis	siss
nemad	nende
pesa	pesa
ja	ja
poeg	poeg
või	või
mis	miss
seal	säl
olema	`ol'li
maha	maha
laskma	`lastud
see	seda
mina	ma
ei	ei
teadma	tea
nüüd	nüid
ütlema	üttelda
see	see
olema	onn
mina	mull
meelest	meelest
juba	juba
minema	läinud
see	seda
olema	on
juba	juba
ka	kahh
üks	üks
ää	ää
kuus+teist	kuus+teist
aasta	`aastat
tagasi	tagasi
uss	us'sid
tulema	`tul'lid
varane	varemal
ajal	aeal
mets	metsast
välja	`väl'la
ja	ja
minema	läksid
siit	siit
läbi	läbi
kas	kass
meie	meije
õu	õvvest
või	või
sealt	säält
teine	teese
kolmas	kolmanda
õu	õvvest
ja	ja
kõik	kõik
minema	läksid
alla	`alla
tee	tee
sinna	`senna
aga	aga
kui	kui
nemad	nad
siis	siss
kas	kass
nemad	nad
minema	läksid
poeg	`poegi
või	või
mina	ma
või	või
mis	miss
nemad	nad
tegema	tegima
minema	läksid
siis	siis
tulema	`tul'lid
nemad	nad
üles	ülese
tagasi	tagasi
mina	ma
ei	ei
teadma	tea
ütlema	üttelda
kas	kass
olema	`ol'li
augusti+kuu	`augusti+kuus
või	või
siis	siss
nemad	nad
hakkama	`akkast
ja	ja
minema	läksid
mets	`metsa
tagasi	tagasi
seda+viisi	seda+`viisi
reisima	`reisist
kes	kess
jääma	jäi
siis	siss
tee	tee
peale	pele
hobune	obuse
alla	`alla
ja	ja
kes	kedast
ära	ära
tapma	tappetti
ja	ja
ee	e
ja	ja
need	need
olema	olid
uss	ussid
meie	meid
ei	ei
olema	ole
nõelama	`nõeland
siin	siin
aga	aga
ä	ä
laut	lauda
uks	ukse
ees	ees
seal	sääl
olema	`ol'li
ja	ja
naaber	`naabri
talu	talus
nõelama	`nõelas
alati	alat'ti
seal	sääl
talu	talus
lehm	lehma
ära	ära
olema	`ol'li
lehma+laut	lehma+`lauttas
lehm	lehmal
ikka	`ikki
pea	pea
olema	`ol'li
haige	`aige
ja	ja
siis	siis
laskma	`las'ti
tooma	`tood'i
lehm	lehmad
välja	`väl'la
ja	ja
laskma	`las'ti
siga	siad
sinna	`senna
sõnnik	sõn'nikkut
puhverdama	puhverdama
siga	siga
pidama	peab
uss	us'si
ära	ära
tapma	`tapma
seda+viisi	seda+`viisi
seal	sääl
olema	ol'l
meie	meil
ei	ei
olema	ole
uss	us's
kuri	`kurja
tegema	teenud
aga	aga
olema	`ol'li
nii+sugune	nii+sugune
juhus	juhus
ka	kaa
noh	nohh
mina	ma
see	seda
aasta	`aastad
ei	ei
mäletama	määletta
enam	änam
lehm	lehmad
olema	`ol'lid
see+sama	selles+samas
koppel	`koples
ja	ja
alt	alt
preester	`preester
surema	`surri
ära	ära
ja	ja
meie	me
minema	läksim
siis	siss
tütar	`tütrega
sinna	sõnna
vaatama	`vaattama
kuidas	kudas
tema	teda
ka	kaa
matma	`maetti
panema	`pan'tti
sinna	senna
kirik	kirikku
kõrvale	`kõrva
haud	`auda
ja	ja
pere+mees	pere+mes
mees	mees
jääma	jäi
kodu	kodu
siis	siss
ja	ja
õu	`õvve
ja	ja
tulema	`tul'lime
tagasi	tagasi
ja	ja
natuke	nattukke
hiline	il'jemaks
jääma	jäi
ja	ja
minema	läksime
koppel	`kopli
lehm	`lehmi
lüpsma	`lüpsma
tütar	tüdar
hakkama	`akkas
teine	teist
lüpsma	`lüpsma
mina	mina
hakkama	`akkasin
teine	teist
lehm	`lehma
lüpsma	`lüpsma
ja	ja
tegema	teen
lehm	lehmale
selg	sel'la
peal	päl
pai	pai
lehm	lehm
tõusma	`tõusis
maast	maast
üles	üles
ja	ja
tegema	teen
lehm	lehmal
selg	sel'la
peal	päl
seal	säl
pai	pai
ja	ja
kaetama	kaettan
kärbes	`kärpsi
ja	ja
hakkama	`akkan
lehm	`lehma
lüpsma	`lüpsma
mina	mina
tundma	tunnen
et	et
mina	minu
jalg	jala
alt	alt
minema	läheb
siuke	`seukke
pehme	`pehme
soe	soe
asi	as'i
hakkama	`akkan
vaatama	`vaattama
ja	ja
mina	menu
kaks	kahe
jalg	jala
vahelt	vahelt
minema	läheb
uss	us's
läbi	läbi
viskama	`viskab
teine	teese
see	selle
noh	nohh
nii	ni
kui	kui
tema	ta
minema	läheb
viskama	`viskab
seda+viisi	seda+visi
ja	ja
seda+viisi	seda+visi
siuke	`siuksed
look	loogad
muidu	muidu
tema	ta
edasi	edesi
ei	ei
minema	lähe
seuke	`seuksi
look	`lookkisi
viskama	`viskab
ja	ja
see	see
teine	teene
look	look
minema	läks
teine	teese
kord	korra
mina	minu
jalg	jala
pihta	`pihta
aga	aga
siis	siss
kohkuma	`kohkusin
ära	ära
küll	küll
aga	aga
ei	ei
teadma	tea
kas	kass
tema	ta
olema	`ol'li
lehm	lehmaga
ühes	ühes
magama	maganud
seal	sääl
maas	maas
aga	aga
siis	siss
arvama	arvat'ti
et	et
see	see
olema	on
see	see
rästik	räs'tik
või	või
nastik	nas'tik
kummas	kummas
see	see
mitte	`mitte
nõelaja	`nõeluea
ei	ei
olema	jole
mina	ma
ei	i
teadma	tea
et	et
see	see
ei	ei
pidama	pea
hammustama	ammustama
aga	aga
mina	ma
ei	i
teadma	tea
mina	minule
tema	ta
kuri	`kurja
ei	ei
tegema	teenud
aga	aga
siis	siis
tema	ta
tulema	tul'i
aed	`aeda
ja	ja
mina	mina
hõikama	`õikkasin
mees	meest
ja	ja
mees	mees
lööma	lõi
tema	ta
küll	küll
ära	ära
ja	ja
mina	mina
nemad	neid
ei	ei
tundma	tunne
kummas	kummas
rästik	räs'tik
või	või
kummas	kummas
nastik	nas'tik
olema	onn
ja	ja
teine	teene
juhus	juhus
olema	`ol'li
seda+viisi	seda+vise
et	et
panema	pan'nime
vili	`vil'la
kokku	`kokku
rukis	rukkist
siduma	sidusime
põld	põllal
ja	ja
aga	aga
hommikul	ommikkul
lööma	lõeme
see	selle
rautsima	`rautsisim
tema	ta
maha	maha
või	või
vihk	vihudesse
ja	ja
minema	läksime
siis	siss
siduma	siduma
ja	ja
mina	mina
ütlema	`ütlen
tüdruk	tüdrikkule
või	või
tütar	`tütrele
et	et
pöörama	pöörame
see	see
vihk	vihud
ümber	`ümber
et	et
mitte	`mitte
see	seda
jälle	jälle
alumine	alumine
külg	kül'g
olema	`ol'li
märg	mär'jaks
jääma	jäänu
pealmine	`päälmine
olema	ol'i
juba	juba
kuivama	`kuivand
et	et
ee	e
pealmine	`päälmine
jääma	jääp
siis	siss
peale	`pääle
poole	`poole
pöörama	pöörame
vihk	vihud
ümber	`ümber
ja	ja
nõnda	nõnda
kui	kui
mina	ma
see	selle
vihk	vihu
ümber	`ümber
pöörama	`pöör'si
ja	ja
pöörama	`pöör'sin
tema	temaga
tükkis	tük'kis
ja	ja
just	jus't
seal	sääl
koht	kohal
kust	kust
mina	mina
side	sideme
olema	oleks
mina	mina
panema	pannud
side	sideme
seda+viisi	seda+`viisi
ja	ja
hakkama	`akkan
siduma	siduma
mina	mina
olema	oleks
kas	kass
tema	ta
olema	oleks
mina	mu
käsi	käed
ära	ära
nõelama	`nõeland
või	või
ei	ei
teadma	tea
mis	miss
tema	ta
olema	oleks
tegema	teenud
ja	ja
mees	mees
olema	ol'i
ka	ka
seal	sääl
lähedal	lähedal
ja	ja
kui	ku
nii	ni
kui	ku
seal	säl
vihk	vihu
ümber	`ümber
pöörama	`pöör'sin
pidama	pid'in
side	sidet
võtma	`võtma
siis	s
kirju	kirju
uss	us's
keras	keras
seal	sääl
just	just
see	selle
koht	koha
peal	pääl
kus	kuss
mina	ma
side	sideme
pidama	pidin
panema	panema
mees	mees
tulema	`tul'li
tema	tall
olema	`ol'lid
säärik	säärikkud
jalas	`jalgas
lööma	lõi
jalg	jalaga
sealt	sält
vihk	vihu
pealt	pält
maha	maha
ja	ja
sõtkuma	`sõtkus
katki	`kat'ki
ja	ja
nägema	näed
aga	aga
nõelama	nõelatta
mina	ma
ei	ei
olema	ole
saama	saanu
mis	miss
vana	vanad
inimene	inimesed
ütlema	`ütlesid
rääkima	`rääkkisid
kapsas	kapsas
olema	`ol'li
ütlema	`ütlend
et	et
tema	tema
tahtma	tahab
et	et
tema	temal
naiste+rahvas	naeste+rahvas
ikka	`ikke
alati	alatti
üle	üle
käima	käib
no	no
see	see
tähendama	tähendab
et	et
puhastama	puhastama
pidama	peab
jah	jahh
no	noo
ja	ja
veel	veel
olema	`ol'li
maja	maea
ehitama	ehettud
no	no
hakkama	`akkand
enne+vanasti	enne+vanasti
hakkama	akkattud
maja	maea
ehitama	ehettama
ütlema	`öeldud
siis	siss
koer	koerale
ja	ja
kass	kas'sile
ka	kaa
et	et
teie	te
tahtma	tahatte
ka	ka
soe	`sooja
tulema	tulge
ka	ka
mets	metsast
maja	maea
tegemine	tegimiseks
materjal	matterjali
tooma	`tooma
jah	jahh
koer	koer
ütlema	`ütlend
mina	mina
maja	maea
ei	ei
tarvitama	tarvitta
mina	mina
magama	magan
väljal	väl'lal
puru	puru
hunnik	un'nikkus
aga	aga
kass	kas's
ütlema	`ütlend
et	et
mina	mina
tulema	tulen
küll	küll
mina	mina
tahtma	tahan
soe	`sooja
ja	ja
tooma	toonud
ee	e
katus	kattuse
hari+puu	ari+bu
välja	`väl'la
enne	`enne
olema	olnd
vaatama	vaatta
õle+katus	õle+kattused
siis	siis
seuke	`seuksed
teivas	`teibad
sedasi	sedasi
kutsuma	kutsutti
hari+puu	ari+budeks
need	need
panema	`pan'tti
peale	`peale
käima	käinud
luu+painaja	luu+`painaea
öösiti	`öösitti
piinama	`piinamas
inimene	inimest
ja	ja
siis	siis
kui	kui
nemad	nad
olema	onn
kuulma	`kuulnud
et	et
see	see
inimene	inimene
sedasi	sedasi
hakkama	`akkand
miski	midagi
hääl	äält
tegema	tegima
või	või
ümisema	ümisema
siis	siss
olema	on
tema	teda
üles	üles
ärritama	ärrittud
või	või
segama	segattud
siis	siss
olema	on
tema	ta
ära	ära
jääma	jäänu
seda+viisi	seda+visi
käima	käenud
aga	aga
mina	mina
ei	ei
teadma	tea
mina	minu
aeg	`aegas
ei	ei
olema	ole
olema	olnud
kas	kass
see	see
olema	`ol'li
muidu	muidu
nemad	`nende
usk	usk
või	või
või	või
olema	`ol'li
nemad	neid
olema	olnud
need	neid
koht	`kohti
küll	küll
kus	kuss
uskuma	usutti
ja	ja
olema	`ol'li
kus	kuss
ei	ei
uskuma	usuttud
ja	ja
kui	kui
miski	midagi
viga	viga
olema	`ol'li
siis	siis
ütlema	`öeldi
et	et
nüüd	nüid
olema	on
tema	ta
ära	ära
nõiduma	nõijuttud
ja	ja
mina	mina
ei	ei
tegema	tee
ka	kaa
rohkem	`rohkem
keegi	kedagi
et	et
kas	kas
seal	säl
olema	`ol'li
ka	kaa
nõidumine	`nõidumist
või	või
et	et
pidama	pidi
olema	olema
teine	teese
kuri	kuri
sõna	sõna
või	või
mõjuma	mõeuma
teine	teese
peale	`pääle
ju	ju
ikka	ikka
loom	looma
peale	pääle
ja	ja
ka	ka
inimene	inimese
peale	pääle
seal	sääl
olema	on
üks	ühe
kindral	`kindrali
haud	aud
olema	onn
sinna	`senna
matma	`maettud
olema	on
lahing	lahing
olema	olnud
saama	sai
ja	ja
olema	on
ö	ö
sinna	`senna
surm	`surma
saama	saanud
ja	ja
olema	on
ära	ära
matma	`maettud
ja	ja
seal	sääl
peal	peal
olema	`ol'li
rist	ris't
ja	ja
päris	päris
haud	auwa
küngas	küngas
noh	nohh
olema	on
jälle	jäl'le
jooksma	jooseb
üks	üks
seuke	seukke
kõrge	`kõrge
ee	e
seljak	sel'lak
või	või
nii	nii
kas	kas
meri	merest
enne+vanasti	enne+vanasti
uhtuma	uhuttud
või	või
seuke	seukke
kõrge	`kõrgem
meri	merest
olema	on
natuke	nattukkese
maa	maad
maa	maa
pool	pol
siis	s
tee	tee
käima	käib
ka	kaa
sealt	sält
läbi	läbi
siuke	`seukke
ee	e
kõrge	`kõrge
küngas	küngas
olema	on
ja	ja
sinna	`senna
sisse	`sisse
siis	siss
küngas	`künkka
sisse	`sisse
olema	`ol'li
raiuma	raijuttud
see	se
muidugi	mud'ugi
kivi	kivid
ja	ja
siuke	`seukke
praht	prah't
siuke	`seukke
kruusa+hunnik	kruusa+un'ik
või	või
mägi	mägi
olema	onn
ja	ja
seal	sääl
olema	on
haud	aud
sees	sehes
olema	olnud
mina	mina
olema	olen
juurest	juurest
läbi	läbi
küll	küll
käima	käenu
aga	aga
mina	mina
sinna	`sinna
sisse	`sisse
olema	pole
vaatama	`vaattan
see	sell
ajal	aeal
kui	kui
mina	mina
karja+laps	karja+laps
olema	`ol'li
see	sell
ajal	aeal
olema	`ol'li
see	se
haud	aud
alles	alles
korralik	korral'ik
ja	ja
terve	terve
aga	aga
pärast	pärast
lõhkuma	lõhut'ti
ja	ja
ee	e
kiskuma	`kisti
tema	ta
puruks	puruks
ja	ja
ee	e
mina	ma
ei	i
teadma	tää
kas	kas
seal	säl
nüüd	nüid
olema	onn
miski	midagi
või	või
olema	on
muidu	muidu
auk	augu
ase	ase
veel	veel
siis	siis
olema	on
olema	olnud
