mh	mh
seisma	seesavad
seni+kaua	sõni+gauwa
kui	kui
sees	sehe
nüüd	nüit
kaks	kaks
ja	ja
pool	pool
kuu	kuud
ligi+korda	ligi+`korda
olema	on
nemad	nad
sees	sehe
ja	ja
nemad	neil
olema	on
siis	siiss
pikk	pikkad
aed	aijad
kolm	kolm
e	e
viis+sada	viis+sada
meeter	`meettert
olema	onn
üks	üks
aed	aija
jutt	jut't
käima	käib
sedasi	sedasi
õhtu	`õhtast
hommik	oomikku
poole	`poole
käima	käib
ja	ja
siis	siss
kakuam	kakku
olema	onn
seal	säl
otsas	`otsas
kast	kas't
sihuke	`siokke
jälle	`jälle
ja	ja
kari	karja
aed	aijad
ja	ja
kõik	kõik
seal	säl
sees	sehe
ja	ja
siis	ss
räim	räim
minema	läheb
käima	käib
sinna	`sinna
sisse	`sisse
ja	ja
sealt	säält
siis	sis
minema	läheb
sinna	`senna
kast	`kas'ti
ja	ja
ja	ja
siis	siss
kui	kui
nõudma	`nõudma
minema	lähed
siis	siss
olema	on
jälle	jälle
see	selle
jaoks	jaoks
vähem	vähem
lappaja	`lappaja
paat	paat'
teine	teine
paat	paat'
panema	`panttaks
sinna	`senna
see	selle
kast	kas'ti
äär	ääre
peale	pääl
tõmbama	tõmmattaks
ja	ja
siis	s
väike	`väikse
paat	paadiga
minema	lähed
sinna	`senna
sisse	`sisse
ja	ja
hakkama	`akkad
siis	sis
lappama	`lappama
ja	ja
ajama	aead
need	nee
räim	räemed
sinna	`sinna
kaks	kahe
paat	paadi
vahele	vahel
kokku	`kokku
ja	ja
siis	siss
sealt	säält
tõstma	tõstad
suur	sure
kahv	kahvaga
tõstma	tõstad
suur	`suure
paat	`paat'ti
sedasi	sedaisi
olema	on
see	se
püük	püik
aga	aga
noo	noo
võrk	võrgu
püük	püik
seal	sääl
ei	ei
olema	ole
keegi	kedagi
võtma	võttad
hommikul	oomikku
välja	`väl'ja
ja	ja
paat	`paat'ti
ee	ee
ja	ja
tooma	tood
äärde	`ääre
ja	ja
hobune	obustega
saama	sai
kallas	`kalda
peale	päl
vedama	`veettud
ja	ja
seal	säl
ära	ära
saputama	sapputtud
siis	siss
ja	ja
jälle	`jälle
juhet	juhettitte
peale	päl
panema	`pandud
aga	aga
kakuam	kakku+aami
töö	töö
olema	on
teist+moodi	teist+`moodi
see	se
panema	paned
tema	ta
kevadel	kevadi
sisse	`sisse
ja	ja
kaks	kaks
ja	ja
pool	pool
kuu	kuud
ja	ja
seisma	seisavad
meri	meres
ja	ja
kui	kui
räim	`räime
olema	on
siis	siiss
käima	käid
iga	iga
päev	päev
ja	ja
vahel	vahel
päev	`päevas
siis	siss
kui	kui
räim	räim
käima	käib
kaks	kaks
kord	`korda
ka	kaa
nõudma	`nõudmas
saama	sai
käima	`käittud
need	neid
seda+viisi	seda+visi
olema	`ol'li
see	se
kakuam	kakku+aami
püük	püik
ei	ei
võtma	`võetta
ainuke	aenukkene
siis	siiss
kui	ku
saama	sai
need	neid
välja	`väl'ja
võtma	`võettud
paigutama	paeguttud
ümber	`ümber
kui	kui
seal	sääl
kus	kus
tema	ta
sees	sehe
olema	`ol'li
ei	ei
püüdma	`püidnud
hästi	`äs'ti
või	või
olema	`ol'li
ja	ja
teine	teise
koht	koha
peal	pääl
jälle	`jälle
kus	kus
koht	kohal
e	e
räim	`räimi
rohkem	`rohkem
olema	`ol'li
saama	sai
tema	ta
uuesti	uuwesti
sisse	`sisse
panema	`panttud
päev	pää
aeg	`aega
minema	läks
enne	enne
kui	kui
tema	ta
e	e
sisse	`sisse
saama	sai
aga	aga
nüüd	nüid
olema	on
jälle	`jälle
uus	uuwemad
nüüd	nüid
noor	nooremad
mees	mehed
ja	ja
nüüd	nüid
minema	lähvad
ja	ja
mees	mehi
olema	onn
nüüd	nüid
see	se
üks	üks
brigaad	prigaad
siin	sii
ja	ja
panema	panevad
kaks	kahe
kolm	kolme
tund	tun'niga
sisse	`sisse
ja	ja
nüüd	nüid
olema	on
need	ne
ka	ka
jälle	jälle
teist+moodi	tõist+`moodi
need	ne
kakuam	kakkud
see	se
sisse	`sisse
panek	panek
minema	läheb
ruttu	`ruttu
aga	aga
välja	`väl'ja
ei	ei
võtma	`võetta
ja	ja
need	ned
muud+kui	mutku
