jaah	jaahh
siis	siss
siis	siss
e	e
vaatama	vaadame
seal	sääl
olema	olime
juures	juures
et	et
nõudma	nöuwame
kas	kass
olema	onn
nägema	näha
õhtu	`öhta
ka	kaa
siig	`siiga
liikuma	`liikkumas
kui	kui
juba	juba
õhtu	`öhta
päike	`päikke
looja	`looea
minema	läind
olema	onn
kui	kui
siis	siis
olema	onn
siig	siiga
siig	siiga
nägema	näha
et	et
juba	juba
mõni	möni
sees	sehes
olema	onn
siis	siss
saama	saab
siig	siigu
küll	küll
aga	aga
kui	kui
ei	äi
olema	ole
siis	siss
olema	pole
saama	`saaea
vana	vanad
mees	mehed
rääkima	`rääkkisid
sedasi	sedasi
no	noo
meie	meije
ka	kaa
vana	vanade
mees	meeste
jutt	juttu
järge	`järge
istuma	`istusime
kolm	`kolme
mees	mehega
olema	olime
istuma	`istusime
paat	`paattis
järsku	`järsku
meie	mee
nägema	nääme
äkist	äkkist
üks	üks
laev	lae
tulema	tuleb
ülalt	ülalt
see	see
igavene	igavese
valu	valuga
tulema	tuleb
ning	ning
otse	otse
kohe	kohe
Atla	`Atla
laht	lahe
peale	`pääle
aga	aga
kust	kust
tema	ta
siis	siss
see	selle
kurss	kursi
olema	oli
oma	omale
saama	saand
ohh	ohh
sina	sa
poiss	poiss
aga	äga
aga	äga
karv	karva
päält	päält
es	ess
tulema	tule
meie	meitte
peale	`pääle
kui	kui
siis	siss
pöörama	`pööras
järsku	`järsku
tagasi	tagasi
ning	ning
ning	ning
panema	pani
paak	paagi
alla	ala
tema	täma
olema	oli
ära	ära
eksima	`eksind
nii	nii
kangesti	`kangest
üks	üks
tulema	tuli
siia	`siije
üks	üks
Holland	Ollandi
kook	kook
kook	koogi
laadung	laadungiga
tulema	tuli
Atla	`Atla
laht	`lahte
sisse	`sisse
kus	kos
see	se
majakas	maijak
olema	oli
seal	sääl
meri	mere
ääres	`ääres
sinna+samasse	`sönna+sammase
nukk	nukki
pääle	pääle
jääma	jähi
kinni	`kinni
jooksma	`jooskes
sisse	`sisse
selle+pärast	selle+bärast
need	neid
olema	onn
siin	sii
kala	kala
püük	püi
püük	püi
aega	`aega
öösel	`öösse
olema	onn
olema	onn
kõige	keige
hull	ullem
kui	kui
need	neid
sedasi	sedasi
käima	`käimas
olema	onn
et	et
sina	sa
nüüd	nüid
ülal	ülal
meri	meres
olema	oled
et	et
need	naad
käima	käivad
läbi	läbi
kui	kui
meie	me
seal	sääl
ülal	ülal
Lai	`Laijas
madal	madalas
käima	käisime
lest	`lesti
püüdma	`püidmas
need	naad
käima	käivad
sealt	sält
läbi	läbi
öösel	`öösse
olema	oled
tulema	tuleb
peale	`pääle
pagan	pagan
teadma	tää
miski	midad
kus	kuss
kus	kuss
sina	sa
olema	oled
äkist	äkkist
selle+pärast	selle+bärast
see	seda
pidama	pidi
see	seda
pidama	pidi
nõnda	nönda
vaatama	`vaatma
need	neid
käima	käis
aga	äga
nüüd	nüid
ei	äij
olema	ole
enam	änam
sedasi	sedasi
olema	pole
nii	nii
kõrge	`körgel
käimine	`käimist
ka	kaa
mitte	`mette
ei	äi
jo	jo
need	nee
käima	käivad
ka	kaa
nüüd	nüüd
traal	raalid
ning	ning
need	nee
käima	käivad
küll	küll
aga	äga
noh	nohh
aga	äga
meie	mee
olema	olime
siin	sii
kui	kui
meie	`meittel
kalandus+brigaad	kalandus+prigaad
olema	oli
siis	siss
meie	mee
käima	käisime
ka	kaa
ülal	ülal
püüdma	`püidmas
sealt	säält
saama	sai
sealt	säält
saama	sai
kala	kala
lest	`lesti
küll	küll
aga	aga
miks+pärast	miks+pärast
see	see
siit	siit
ära	ära
kaotama	`kaudatti
tema	taa
teenima	`teenis
kolhoos	kaloos
saama	sai
ju	ju
sealt	säält
ju	ju
küll	küll
ka	kaa
Kaju+pank	Kaju+bank
ütlema	`ütless
et	ett
tema	taa
olema	onn
tema	taa
olema	onn
andma	`andand
kolhoos	kaloosile
viis+teist	`viis+teist
tuhat	tuhat
noh	nohh
üks	ühe
aasta	`aastaga
no	noo
mis	mis
sina	sa
veel	veel
tahtma	tahad
saama	saaea
see	see
olema	oli
ju	ju
puhas	puhas
kasu	kasu
aga	aga
miks+pärast	miks+pärast
see	see
ära	ära
kaotama	`kaudatti
mina	mina
ei	äi
teadma	tää
see	seda
müüma	`müidi
ära	ära
müüma	`müidi
siis	siiss
olema	olid
ostja	`ostjad
ka	kaa
ikka	ikka
Riia	`Riiga
viima	`viidi
ning	ning
iga	igale
poole	`poole
ostja	`ostjad
olema	olid
rand	rannas
ootama	ootta
Pärnu	`Pärnust
olema	oli
üks	üks
Kampmann	`Kampmanni
nimeline	nimeline
see	see
hakkama	`akkas
kõige	keige
ennem	ennem
käima	`käima
siin	sii
ostma	`ostmas
see	see
olema	oli
vana	vana
kala	kala
parisnik	parisnik
no	noo
ning	ning
pärast	pärast
olema	oli
siis	siss
need	neid
palju	pailu
Tallinn	Talinast
käima	käisid
ning	ning
ikka	`ikka
kõik	keik
ostma	ostetti
ära	ära
ning	ning
kevade	kevade
siis	siss
mees	meestel
nemad	nendel
olema	oli
oma	omal
mootor+paat	`moottur+paet
mootor	`moottur
olema	oli
need	nee
viima	viisid
värske	`värske
kala	kala
ise	ise
otse	otse
Tallinn	Talina
siit	siit
panema	pandi
panema	`pandi
laadung	laadungi
ning	ning
siis	siiss
minema	läksid
Revolt	Revolt
üks+kord	ühe+gorra
noh	nohh
mees	mehed
kõlistama	kölistasid
Tallinn	Talina
Revolt	Revolt
käima	käis
ikka	ikka
ostma	`ostmas
siin	siin
et	et
tulema	tule
viima	vii
ahven	ahvenad
ära	ära
noh	nohh
siis	siis
olema	oli
noh	nohh
kevade	kevade
saama	saab
jää	jää
järge	`järge
saama	saab
ahven	ahvenad
ahven	ahvenad
olema	on
nii	nii
palju	palju
et	et
olema	pole
koht	`kohta
panema	`panna
kuskil	`kuskil
et	et
tulema	tule
järge	`järge
tema	taa
käima	käis
ikka	`ikka
auto	`outtuga
ära	ära
viima	`viimas
siin	si
no	noo
Revolt	Reevolt
olema	oli
olema	oli
tulema	tulnd
sohh	sohh
aga	aga
vana	vana
Sander	`Sandril
Eerik+saar	Eerik+`saares
olema	olid
kange	`kanged
kala+mees	kala+mehed
vana	vana
Teern	Teern
Teern	`Teernil
olema	oli
nii	nii
palju	palju
kala	kala
et	et
Revolt	Reevolt
saama	sai
umbest	`umbast
auto	`outtu
koorem	koorma
üks	ühe
hommikune	oomigused
kala	kalad
siis	sis
ütlema	`ütlend
et	et
noh	nohh
nüüd	nüid
muu	muu
asi	asi
ei	ei
aitama	`aitta
et	et
nüüd	nüit
teie	te
pidama	`peatte
nii	nii
kaua	kauwa
oma	oma
kala	kaladega
ootama	`ootma
kui	kui
tema	ta
käima	käis
Tallinn	Talinas
viima	viis
need	nee
no	noo
ning	ning
mõtlema	`mötle
värske	`värske
kala	kala
esimene	esimesed
turg	turul
mis	miss
need	nee
maksma	`maksid
need	nee
olema	olid
ju	ju
kallis	`kallid
ning	ning
siis	siis
tulema	tuli
tagasi	tagasi
Tallinn	Talinast
tühja	tüha
ning	ning
siis	sis
viima	viis
Atla	`Atla
mees	meestel
ära	ära
oohh	oohh
aga	aga
kevade	kevade
ahven	ahvenattega
oi	oi
siis	siss
siis	siis
olema	oli
võrk	vörgud
välja	`välja
ning	ning
mõrd	mörrad
kes	killel
olema	olid
ikka	ikka
sisse	`sisse
ning	ning
ahven	ahvenad
saama	sai
kõvasti	kövasti
aga	aga
Atla	`Atla
laht	lahes
ei	äij
olema	ole
kaua	kauwa
püük	püik
kolm	kolm
kolm	kolm
öö	ööd
neli	neli
öö	ööd
siis	siss
minema	`lähtvad
Kuusnõmme	`Kuusma
laht	`lahte
seal	sääl
nemad	nad
kuduma	kuduvad
siis	siss
nemad	nad
minema	`lähtvad
kuduma	kuduma
Kuusnõmme	`Kuusma
laht	`lahte
aga	aga
siis	siis
sina	sa
pidama	piad
siin	sii
terav	terava
mees	mees
olema	olema
et	et
sina	sa
et	et
sina	sa
kohe	kohe
kui	kui
jää	jää
laguma	lagub
et	et
sina	sa
kohe	kohe
välja	`välja
saama	saad
aga	äga
siis	siis
ep	ep
võima	vöi
ilm	`ilma
vaatama	`vaatta
et	et
ohh	ohh
täna	täna
õhtu	`öhta
tuulene	tuulene
ei	äi
saama	saa
laskma	lasta
ikka	ikka
välja	`välja
siis	siss
siis	siis
nemad	nad
siis	siis
nemad	nad
jooksma	`jooskvad
otsima	`otsivad
jää	jääd
aga	aga
see	see
olema	pole
kaua	kauwa
kolm	kolm
kolm	kolm
neli	neli
öö	ööd
siis	siis
minema	`lähtvad
minema	minema
siis	siis
olema	onn
tühi	tühi
siis	siis
minema	`lähtvad
Kuusnõmme	`Kuusma
laht	`lahte
no	noo
seal	sääl
olema	onn
siis	siss
see	see
suur	suur
püük	püik
seal	sääl
olema	onn
nüüd	nüid
see	see
esi+mees	esi+mes
see	see
ep	b
lubama	luba
seal	sääl
teine	`teissi
püüdma	püida
see	see
Kommunismi	Kommunismi
kolhoos	kaloosi
esi+mees	esi+mes
see	see
püüdma	püijab
ise	ise
see	see
ep	b
lubama	luba
võõras	`vöörud
minema	`minna
sinna	`sönna
sisse	`sisse
minev+aasta	minev+`aasta
tema	taa
hirmutama	irmuttas
Varuli	Varuli
mees	mihi
ka	kaa
Nasva	Nasva
mees	mehed
ning	ning
need	nee
käima	käivad
siin	sii
ränd+püük	ränd+püigil
sügise	sügise
siig	`siigu
püüdma	`püidmas
siis	siiss
tegema	`tehti
suur	suured
piir	piirid
kust	kust
kust	kust
saadik	saadik
võima	vöib
minema	minna
ning	ning
kus	kuss
ep	ep
tohtima	tohi
minema	minna
ei	äi
ei	äi
ei	äij
olema	ole
ei	äij
olema	ole
käima	`käidud
see	seda
olema	pole
olema	olnd
Hari+laid	Ari+`laidus
Taga+mõisa	Taga+`möisas
üks+kord	`üks+kord
meie	meittel
käima	käisid
noot	`nootta
püüdma	`püidmas
Taga+mõisa	Taga+`möisa
Eispuss	Eispuss
noh	nohh
siis	siis
olema	oli
mõisnik	möisnikku
käes	kää
meri	meri
Eispuss	Eispuss
olema	oli
ütlema	`ütlend
et	et
kala	kala
võima	vöib
koju	koeu
tooma	`tuuwa
nii	nii
palju	pailu
kui	kui
kuluma	kulub
aga	äga
mitte	`mette
võõras	`vöörale
müüma	`müija
ainult	ainult
tema	tämale
müüma	`müija
mõisnik	möisnikkul
oma	omal
müüma	`müija
aga	aga
mis	mis
jo	joo
tema	taa
siis	siiss
nemad	naad
edasi	edasi
saatma	`saattas
või	vöi
aga	aga
kodu	kodu
võima	vöib
nii	nii
palju	pailu
kui	kui
kuluma	kulub
viima	`viija
siis	siis
nemad	naad
käima	käisid
seal	sääl
noot	noodaga
tuule+kala	tuule+kalal
kala	kalu
suur	suurtte
pikk	`pikkade
nokk	`nokkadega
mis	mis
nemad	nad
püüdma	`püitsid
sealt	säält
ning	ning
käima	käisid
aga	aga
aga	aga
siis	siiss
olema	pole
pärast	pärast
enam	änam
käima	`käidud
seal	sääl
mis	mis
see	se
meri	meri
olema	oli
mõisnik	möisnikku
ja	ja
Kuusnõmme	`Kuusma
laht	laht
olema	oli
ju	ju
ka	kaa
Kuus+nõmme	`Kuus+nömme
mõis	`möisa
oma	oma
aga	äga
sina	saa
es	ss
tohtima	tohi
seal	sääl
laskma	lasta
muidu	muidu
sina	saa
pidama	pidid
maksma	`maksma
see	selle
eest	eest
maksma	maksetti
mina	mina
ei	äi
teadma	tää
olema	oli
see	se
kaks	kaks
rubla	rubla
või	vöi
mis	miss
see	selle
eest	eest
maksma	`maksa
olema	oli
siis	sis
sina	sa
võima	vöisid
võrk	vörgud
laskma	lasta
sisse	`sisse
jaa+jahh	jaa+jahh
sina	saa
mõisnik	`möisnikkule
maksma	`maksid
see	see
olema	li
mõisnik	`möisnikku
mõisnik	`möisnikku
ehk	ähk
andma	anna
kala	kalu
tema	taal
üks+kõik	`üks+keik
maksma	maksa
kala	kaladega
või	vöi
andma	anna
puhas	puhast
raha	raha
või	vöi
ega	äga
see	see
es	ss
olema	ole
et	et
sina	sa
ise	ise
aga	äga
Atla	`Atla
laht	laht
see	see
see	see
olema	onn
vaba	vaba
vist	vist
olema	olnd
siin	sii
ei	äi
siin	sii
ei	äi
olema	ole
olema	olnd
maks	`maksu
see	see
olema	oli
riik	riigi
mõis	möis
mis	miss
siin	sii
olema	oli
aga	aga
no	no
Kuus+nõmme	`Kuus+nömme
mõis	möis
olema	oli
päris	päris
mõis	`möisa
parun	paruni
mõis	möis
aga	aga
see	see
olema	oli
see	see
olema	oli
siin	sii
rent	rendi
peal	pääl
üks	üks
rentima	`renttis
üks	ühe
aasta	`aasta
teine	teine
teine	teise
aasta	`aasta
pisine	pisine
mõis	möis
talve	`talve
und	`undadega
jahh	jahh
und	unna
püik	`püikki
tegema	`tehti
küll	küll
jää	jää
sisse	`sisse
auk	auk
ning	nink
und	unnad
särg	`särgi
Nasva	Nasvalt
tooma	`toodi
särg	`särgi
see	seda
und	`undadega
talve	`talve
ep	p
saama	saa
muidu	muidu
haug	aug
tulema	tuleb
särg	`särge
võtma	`vötma
ning	ning
siis	siis
olema	on
seal	sääl
suur	sured
haralik	aralikkud
õng	ö^nged
see	see
tõmbama	tömmettasse
tõmbama	tömmettasse
särg	särjele
suu	sohe
sedasi	sedasi
ning	ning
siis	siiss
selg	seljast
läbi	läbi
tõmbama	tömmettasse
ning	ning
siis	siiss
tema	ta
ujuma	oeub
vesi	vee
sees	sehes
ning	ning
haug	aug
tulema	tuleb
tema	teda
oohh	oohh
und	unna
und	unna
püük	püik
olema	onn
raiuma	raijud
jää	jää
sisse	`sisse
auk	augu
ning	ning
siis	siiss
panema	paned
särg	särje
sinna	sönna
sinna	sönna
otsa	`otsa
ning	ning
siis	siiss
tema	taal
olema	onn
sihandune	sihandune
suur	suur
pulk	pulk
siis	siis
kerima	kerid
see	selle
lõng	lö^nga
nöör	nööri
tema	taa
närima	närib
katki	`katki
see	see
pidama	peab
tugev	tugeva
olema	olema
siis	siiss
kerima	kerid
see	see
sinna	`sönna
ning	ning
siis	siiss
panema	paned
sinna	`sönna
auk	augu
auk	augu
äärde	`ääre
jää	jää
sisse	`sisse
pulk	pulg
sinna	sönna
kinni	`kinni
ning	ning
see	see
pistma	pistad
sinna	sönna
sisse	`sisse
see	see
särg	särje
auk	august
alla	ala
vat	vat
nüüd	nüit
tema	ta
tulema	tuleb
see	seda
vihati	vihatti
võtma	`vötma
tema	taa
olema	onn
nii	nii
vihane	vihane
kala	kala
siis	siiss
tema	ta
tulema	tuleb
see	seda
vihati	vihatti
võtma	`vötma
aga	äga
näed+sa	`näät+sa
vana+mees	vana+mes
ep	ep
teadma	tää
see	seda
miski	medagid
särg	särjel
särg	särjel
olema	on
ju	ju
õng	öng
suu	suus
rapsama	`rapsab
see	selle
ning	ning
vat	vat
siis	siiss
tema	ta
viima	viib
see	selle
see	selle
suur	sure
nöör	nööri
mis	mis
seal	sääl
ümber	`ümber
pulk	pulga
kerima	kerittud
olema	on
see	selle
viima	viib
sirge	`sirge
see	see
nägema	nääb
hommikul	oomikku
ära	ära
kui	kui
sina	sa
minema	lähed
minema	lähed
vaatama	`vaatma
siis	siiss
kui	kui
olema	onn
sirge	`sirges
siis	siiss
tema	taa
olema	onn
otsas	`otsas
aga	aga
siis	siiss
sina	sa
pidama	pead
terav	terava
mees	mees
olema	olema
et	et
sina	sa
kõva	kövad
asi	asjad
et	et
sina	sa
tema	ta
käsi	käde
saama	saad
tema	taa
närima	närib
puruks	puruks
ning	ning
minema	läheb
kohe	kohe
minema	minema
need	neid
mitu	midu
tükk	`tükki
ära	ära
minema	läind
sedasi	sedasi
aga	aga
siis	siiss
olema	onn
nii+sugune	nii+sugune
raud+konks	raud+konks
nii+sugune	nii+sugune
haak	aak
sinna	`sönna
kael	kaila
taha	taa
tema	`taale
siia	`siije
lõug	löuwa
taha	taha
ning	ning
siis	siiss
rapsama	`rapsa
jää	`jääle
sedasi	sedasi
olema	oli
see	see
olema	onn
üks	üks
käsi	kätte
külmamine	`külmamise
töö	töö
see	see
olema	pole
miski	midad
paljas	pal'jaste
käsi	kättega
sina	saa
pidama	pead
olema	olema
aga	aga
kõik	`keikki
saama	sai
püüdma	`püittud
talv	`talvel
ning	ning
jaa+jahh	jaa+jahh
need	neid
olema	oo
palju	palju
aga	äga
siis	sis
seal	sääl
ikka	`ikka
need	neid
ikka	ikka
kes	kess
ikka	ikka
kange	`kange
und	unna
mees	mees
olema	oli
ikka	`ikka
sada	saea
osa	osa
sedasi	sedasi
sees	sehes
mis	mis
sina	sa
mõni	mönega
sina	sool
ep	ep
maksma	maksa
mängima	`mängida
see	see
ep	p
tasuma	tasu
ära	ära
see	seda
see	see
ikka	`ikka
nõnda	nöndat
tema	ta
ikka	ikka
ära	ära
tasuma	tasub
jää	jää
all	all
saama	sai
püüdma	`püüttud
küll	küll
kaa	kaa
siis	siss
tulema	tuleb
kraav	kraav
raiuma	`raijuda
noo	noo
viimane	viimasel
aeg	aeal
nemad	naad
hakkama	`aksid
nöör	nööriga
sirge	`sirge
tõmbama	`tömbma
siis	siiss
tulema	tuleb
kraav	kraav
saagima	`saagida
ning	ning
võrk	vörk
sinna	`sönna
sisse	`sisse
ja	ja
see	see
puhastama	puhastad
ära	ära
ning	ning
siis	siiss
laskma	lahed
sinna	`sönna
sisse	`sisse
miks	miks
mitte	`mette
jää	jää
all	all
saama	sai
püüdma	`püittud
küll	küll
sedasi	sedasi
aga	aga
nüüd	nüid
viimane	viimasel
aeg	aeal
nemad	naad
uurima	`uurisid
see	selle
välja	`välja
et	t
nüüd	nüid
auk	auk
raiuma	raijuttasse
ning	ning
siis	siss
nöör	nöörid
tõmbama	tömmettasse
nöör	nööriga
tõmbama	tömmettasse
võrk	vörk
sirge	`sirge
see	see
olema	onn
olema	on
tema	ta
kivine	kivine
kaa	kaa
hakkama	akkab
kinni	`kinni
aga	aga
siis	siiss
kraav	kraaviga
olema	on
kõige	keige
hea	parem
saagima	`saagides
saagima	saettasse
jää	jääst
läbi	läbi
ning	ning
siis	siss
raiuma	raijud
jää	jää
puruks	puruks
ning	ning
puhastama	puhasta
ära	ära
laskma	lase
võrk	vörk
sisse	`sisse
siis	siss
see	seda
saama	sai
kaa	kaa
proovima	proovittud
aga	aga
kõik	keik
olema	onn
ära	ära
katsuma	katsuttud
aga	aga
mis+sugune	`mis+sugune
ikka	`ikka
kõige	keige
lõhkuma	`löhkus
lõhkuma	`löhkus
küll	küll
lõhkuma	`löhkus
küll	küll
ära	ära
need	neid
jääma	jähi
need	neid
jääma	jähi
jääma	jähi
mina	mool
üks	üks
vana	vana
vana+mees	vana+mes
mina	mool
sugulane	sugulane
vana	vana
Jüri	Jüri
käima	käis
ülal	ülal
Lai	`Laijas
madal	madalas
kaks	kahe
mees	mehega
olema	olid
minema	läind
ning	ning
torm	tor'm
tulema	tuli
peale	pääle
ning	ning
nemad	naad
es	ess
saama	saa
mitte	`mette
üks	`ühte
käsi	käde
kõik	keik
jääma	jähid
kõik	keik
minema	läksid
teine	teise
teine	teise
nädal	nädali
siis	siss
nemad	naad
siis	siss
noh	noh
seal	sääl
olema	onn
nii+sugune	nii+sugused
märk	märgid
olema	onn
peal	peal
siis	siis
leidma	`löitsid
märk	märgid
äär	`äärest
aga	aga
võrk	`vörkku
olema	pole
võrk	vörgud
olema	onn
minema	läind
noo	noo
panema	pannasse
nii+sugune	`nii+sugused
puu	puu
märk	märgid
panema	pannasse
peale	`peale
sina	saa
ep	b
nägema	nää
ju	ju
muidu	muidu
sina	saa
laskma	lahed
põhi	`pöhja
aga	aga
võrk	vörk
kaduma	kaub
ära	är
sina	su
käsi	kääst
ju	ju
aga	aga
seal	sääl
olema	onn
siis	siss
tegema	`tehtud
ka	koa
kork	kor'gist
nii+sugune	nii+sugused
märk	märgid
pulk	pulga
otsas	`otsas
olema	on
punane	punane
lipp	lipp
või	vöi
valge	`valge
või	vöi
miski	midad
et	et
sina	sa
nägema	nääd
muidu	muidu
muidu	muidu
sina	sa
ep	p
nägema	nää
ju	ju
nõnda	nönda
jääma	jähid
ilma	`ilma
võrk	`vörkkudest
seal	sääl
olema	onn
see	see
olema	pole
kerge	`kerge
seal	sääl
püüdma	püüda
mis	mis
asi	asja
pere	pere
ähäh	ähäh
ei	äi
mis	miss
pere	pere
jaa	jaa
jah	jahh
iga+üks	igal+ühel
olema	oli
oma	oma
õu	öuwe
number	`number
õu	öuwe
märk	mär'k
ning	ning
jaa	jaa
jah	jahh
iga+üks	igal+ühel
kus	kus
sina	sa
muidu	muidu
saama	saad
need	need
kuidas	kuidas
kuidas	kuidas
ükski	ühegittel
olema	oli
meie	`meittel
olema	onn
number	`number
seal	sääl
uks	ukse
peal	peal
praegu	`paergus
neli	neli
number	`number
neli+teist	neli+deist
pidama	peab
meie	meitte
õu	öuwe
number	`number
olema	olema
olema	olnd
see	selle
see	selle
talu	talu
õu	öuwe
number	`number
iga	iga
talu	talul
olema	onn
oma	oma
number	`number
ju	ju
õu	öuwe
õu	öuwe
number	`number
koht	koha
number	`number
või	vöi
õu	öuwe
number	`number
või	vöi
kuidas	kuidas
see	see
ütlema	`ööttakse
iga	iga
talu	talul
olema	oli
ja	ja
võrk	vörgu
peal	pääl
olema	onn
kaa	kaa
mõni	mönel
mõni	möni
tegema	tegi
oma	oma
nimi	nime
täht	tähed
või	vöi
üks+kõik	`üks+keik
miski	midagid
märk	`märkki
pidama	pidi
ikka	`ikka
olema	olema
muidu	muidu
sina	sa
ep	p
tundma	tunne
ju	ju
kes	kes
kurat	kurrat
kes	kes
need	neid
pagan	pagand
teadma	tääb
teadma	tääb
mis	miss
mood	`moodi
need	ne
üks	üks
tegema	tegi
sedasi	sedasi
teine	teine
teisiti	teisitti
aga	äga
vana	vanad
mees	mehed
olema	olid
ikka	`ikka
ikka	`ikka
kange	`kanged
kala+mees	kala+mehed
käima	käisid
käima	käisid
ikka	`ikka
kaa	kaa
ülal	ülal
ning	ning
püüdma	`püitsid
oma	oma
kuduma	koeuttud
võrk	`vörkkudega
ning	ning
aga	aga
nohh	nohh
nüüd	nüid
olema	onn
ju	ju
kus	kuss
kus	koes
pool	pool
maa	maal
sinna	`sönna
panema	`pandi
vana	vanad
mees	mehed
panema	panid
mänd	männi
käbi	käbid
oolestama	oolestatti
sedasi	sedasi
mänd	männi
mänd	männi
käbi	käbist
oolestama	oolestatti
valmis	`valmis
nii+sugune	nii+sugused
lause	`laused
ning	ning
siis	siis
põletama	pöledatti
auk	augud
sisse	`sisse
ning	ning
siis	siss
jah	jahh
lause	`laused
jah	jahh
panema	`pandi
nipp	nippe
külge	`külge
ning	ning
need	nee
panema	`pandi
sõnna	sönna
panema	`pandi
veel	veel
puu	puu
nide	nidega
panema	pandi
sõnna	sönna
peale	`pääle
veel	veel
lõng	löngast
see	se
maksma	`maksis
raha	raha
ju	ju
aga	aga
mets	`metsast
tooma	toodi
puu	puu
nide	nide
ära	ära
ning	nink
panema	pandi
sinna	sinna
see	sellega
veel	veel
peale	`pääle
räim+võrk	räim+vörkkudele
need	ne
lause	`laused
nide	nidedega
kus	kuss
sina	sa
võima	vöid
nüüd	nüid
mina	ma
vaatama	vaada
siin	sii
kus	kuss
sina	sul
aga	aga
nöör	nööridega
ning	ning
siduma	`siuttasse
ning	ning
oh	oh
sina	sina
armas	`armas
aeg	aeg
vana+mees	vana+mes
kus	kuss
sina	sa
see	selle
raha	raha
võtma	`vöttad
no	no
tema	taa
minema	läks
mets	`metsa
tegema	tei
tegema	tei
puu	puu
ära	ära
ning	ning
nülgima	`nülgis
ära	ära
ning	ning
panema	pani
kinni	`kinni
aitama	`aittas
küll	küll
selle+pärast	selle+bärast
see	see
siduma	`siutti
kinni	`kinni
ots	`otsa
pidama	pidi
seal	sääl
ei	äi
no	no
seal	sääl
olema	on
iga	iga
võrk	vörgul
olema	onn
ju	ju
nii	nii
nii	nii
pikk	pitk
nöör	nöör
järges	`järges
pael	pael
mis	millega
tema	taa
kus	kuss
külge	`külge
tema	ta
valmis	`valmis
tegema	tehasse
see	sellega
siduma	`siutti
kokku	kogu
nohh	nohh
see	sellel
see	see
olema	on
see	see
olema	on
ain	ainad
kutsuma	kutsutti
ain	ainad
olema	onn
need	need
ikka	`ikka
iga	iga
võrk	vörgul
muidu	muidu
ep	p
saama	saa
tema	taa
ep	p
saama	saa
ju	ju
olema	`olla
tema	taa
pidama	peab
olema	olema
ikka	ikka
praegu	`paergus
nii+sama	nii+samma
kaa	kaa
ju	ju
praegu	`praegus
olema	onn
kaa	kaa
need	nendega
siduma	`siutti
kokku	`kokku
ning	ning
siis	siis
laskma	`lasti
meri	mere
ning	ning
hakkama	`akkasid
peale	pääle
püüdma	`püidma
ooh	ooh
enne+vanasti	`enne+vanast
püüdma	püitti
siin	sii
Atla	`Atla
laht	lahes
mina	maa
olema	pole
mitte	`mätte
siin	sii
siin	sii
rand	ranna
ääres	`ääres
mina	maa
ei	äij
olema	ole
püüdma	`püidand
nii	nii
vana	vana
mees	mees
mina	maa
olema	pole
aga	aga
siis	siiss
seal	sääl
kus	koes
see	see
üks	üks
üks	üks
rahu	rahu
olema	onn
siit	siit
maa	maalt
eemal	`eemal
seal	sääl
mina	ma
käima	käisi
püüdma	`püidmas
suvi	sui
lest	`lesti
jaa	jaa
jah	jahh
siin+samas	sii+sammasses
kus	kuss
Atla	`Atla
rand	rand
olema	onn
teie	tee
olema	pole
käima	käind
seal	sääl
seal	sääl
seal	sääl
nukk	nukki
taga	taga
olema	oli
püüdma	`püittud
seal	sääl
olema	oli
lest	`lesti
olema	old
ning	ning
siis	siiss
aga	äga
siis	siiss
Ahe+rahu	Ahe+rahul
see	see
olema	onn
siin	sii
laid	`laidu
juures	`juures
see	see
olema	onn
kaa	kaa
siin	sii
siin	sii
Elda+maa	`Elda+maa
ääres	ääres
seal	sääl
mina	maa
olema	ole
käima	käind
seal	sääl
meie	mee
püüdma	`püitsime
vana	vanad
mees	mehed
magama	magasime
nõnda	nönda
puri	purju
all	all
nii	nii
palav	palav
olema	oli
seal	sääl
mina	ma
olema	ole
kaa	kaa
püüdma	`püidand
küll	küll
aga	äga
naine	naised
niitma	`niitsid
väli	väljal
vana	vanad
mees	mehed
püüdma	`püidvad
lest	`lesti
jah	jahh
aga	aga
aga	aga
siin	sii
mina	maa
olema	pole
käima	käind
siin	sii
siin	sii
rand	rannas
aga	aga
siis	siiss
seal	sääl
rahu	rahul
seal	sääl
mina	maa
käima	käisi
noo	noo
pärast	pärast
hakkama	`aksid
juba	juba
kaugemale	`kaugemale
minema	minema
näed+sa	näät+sa
kala	kalad
lõppema	`löpsid
ära	ära
hakkama	`aksid
minema	minema
juba	juba
laid	`laidu
juurde	`juure
ning	ning
seal	sääl
juba	juba
siis	siiss
Salava	Salava
ümber	`ümber
ning	ning
seal	sääl
ikka	`ikka
ikka	`ikka
korrast	korrast
kaugemale	`kaugemale
ikka	ikka
korrast	korrast
kaugemale	`kaugemale
minema	läksid
viimaks	`viimaks
hakkama	`aksid
juba	juba
ülal	ülal
käima	`käima
nägema	näät
siig	`siigadega
olema	oli
seda+samati	seda+sammatti
kaa	kaa
ju	ju
esiti	esitti
saama	sai
siit	siit
alt+poolt	alt+polt
näed+sa	`näät+sa
pärast	pärast
es	es
saama	saa
enam	änam
ikka	`ikka
ikka	`ikka
kaduma	kadusid
ära	ära
tooma	`toodi
suur	sured
suur	sured
kunst+püüs	kunst+`püised
ju	joo
meie	me
nägema	`nääme
kui	kui
kaua	kauwa
need	nee
kala	kalad
olema	onn
seal	sääl
nüüd	nüid
suur	surde
kunst+püüs	kun'st+`püiste
püüs	püistega
