õ	õ
vill	`villu
kaastma	kaastitti
kaast	`kaas'tega
kaastma	kaastitti
kaast	`kaas'tega
ka	ka
seante	`seantse
kaast	`kaastida
olema	olive
kaks	kaits
kaast	`kaastit
olema	oli
siis	sõss
need	nõndega
saama	sai
kaastma	`kaastit
jälle	jälle
vill	`villu
jah	jahh
kaks	kaits
kaast	`kaastit
olema	oli
seante	seantse
puu+laud	puu+lavva
ja	ja
mm	mm
ja	ja
siis	sõss
pidim	pidima
sees	sehen
seante	seantse
jah	jahh
puu+laud	puu+lavva
ja	ja
pidim	pidima
olema	olive
sees	sehen
siis	sõss
need	nendega
saama	sai
kaastma	`kaastit
jälle	`jälle
ja	ja
seante	seantsit
junni+kene	junniksit
tegema	tett
siis	sõss
need	neid
saama	sai
jälle	jäll
ketrama	kedrätta
jälle	jälle
seante	`seantsit
junni+kene	junniksit
seante	`seantse
junni+kene	junnikseda
olema	olive
tema	ta
es	ess
väga	`väega
tahtmine	`tahtmise
järgi	`järgi
es	ess
olema	ole
aga	aga
muud+kui	muutku
minema	lätsi
ära	äräde
jah	jahh
ei	ei
ei	ei
saama	saa
ju	ju
ega	ega
valima	valida
ei	eij
olema	ole
ju	jo
jah	jahh
päris	periss
tahtmine	`tahtmise
järgi	`järgi
es	ess
olema	ole
aga	aga
muidu	mud'u
olema	oli
seande	seantte
hea	ää
mees	miis
küll	küll
aga	aga
seande	seantte
jälle	jälle
mait	maeda
poolt	puuld
seande	seantte
et	et
es	ess
olema	ole
nõnda	nõnda
erk	erk
es	ess
olema	ole
ega	ega
nõnda	nõnda
kärmas	kärmäss
es	ess
olema	ole
jah	jahh
seande	seantte
mait	maeda
poolt	puuld
jaa	jaa
aga	aga
muidu	mud'u
olema	oli
hea	ää
mees	miis
ega	ega
kuri	kuri
es	es
ega	ega
kuri	kuri
es	ess
olema	ole
jah	jahh
es	ess
kaklema	`kakle
es	ess
kaklema	`kakle
mitte	`mitti
üks	üits
maik	maik
hea	ää
mees	miis
talu+poiss	talu+poiss
jah	jahh
meie	meije
ise	esi
olema	olime
olema	olime
sulane	sulase
olema	olime
ja	ja
jah	jahh
sulane	sulase
olema	olime
kas	kas
mina	ma
nüüd	nüid
see	sedä
ei	ei
mäletama	mäletta
enam	enämb
see	sedä
ei	ei
see	sedä
ei	ei
mäletama	mäletta
enam	enämb
ju	jo
jah	ijahh
kaks	kaits
tükk	`tükki
poeg	poig
ja	ja
tütar	tüdär
näe	nä
poeg	poig
siin+samas	siin+saman
nüüd	nüid
ja	ja
ja	ja
tütar	tüdär
olema	omm
seal	sääl
jälle	`jälle
vaeste+maja	`vaeste+majan
seal	säl
surnu+aed	`surnu+aija
veeres	veeren
kaks	kaits
tükk	`tükki
olema	oli
paljalt	pail't
kaks	kaits
laps	last
olema	oli
jah	jahh
mõlemad	mõlema
elama	eläve
jah	jahh
poeg	poig
saama	sääb
juba	joba
kuus+kümmend	kuvve+`gümne
kuus+kümmend	kuvve+`gümne
kuus	kuvve
olema	omm
poeg	poig
ja	ja
tütar	tüdär
olema	omm
jälle	jälle
kuus+kümmend	kuvve+`gümne
kolm	kolme
ütlema	ütteldass
et	et
et	et
õnnetus	õnnettust
kukkuma	kukkup
või	võ
jah	jahh
et	et
et	et
kägu	kägu
kukkuma	kukkup
ikka	ik
õnnetus	õnnettust
aga	aga
see	si
olema	omm
väga	väegä
vale	võle
meie	meil
olema	omm
siin	siin
kukkuma	`kukkun
kodu	kodu
kah	kahh
kodu	kodun
ka	ka
kukkuma	`kukkun
ei	eij
olema	ole
miski	midägi
olema	olnu
jah	jahh
ei	eij
olema	ole
sr	sr
olema	omm
ise	esi
vana	vana
vana	vana
jutt	jutt
ise	esi
ise	esi
jääma	*jäänu
et	t
kägu	kägu
kukkuma	kukkup
õnnetus	õnnettust
kodu	kodun
vana	vanast
jääma	*jäänu
olema	oli
seande	seantte
jutt	jutt
aga	aga
ei	ei
ei	ei
saama	sää
õnnetus	õnnettusest
keegi	kedägi
aru	aru
ei	i
saama	saa
ei	eij
olema	ole
keegi	kedägi
õnnetus	õnnettust
olema	ollu
jah	jahh
ei	ei
lõuna	`lõuna
ajal	aal
ei	ei
õhtu	`õhtu
õhtu	`õhtu
kukkuma	kukkup
õnnetus	õnnettust
munema	munevet
teine	tõise
pesa	`pessä
