pahem+pidi	pahem+bidi
koht	kohad
kus	kus
jälle	`jälle
värvima	`värmima
saatma	saadedi
ja	ja
seal	sääl
siis	siis
uhtuma	uhudi
ja	ja
pesema	`pesti
ka	kaa
saama	sai
tõrs	törre
sisse	`sisse
kangas	ka~nnas
panema	pandut
siuke	`seukke
ümmargune	ümargune
tõrs	törs
olema	oli
ja	ja
siis	siis
labidas	labidas
olema	oll
käsi	käe
ja	ja
nii+moodi	nii+`moodi
saama	sai
siis	siis
tampima	tambit
nii	nii
kaua	kauwa
kui	kui
tema	ta
pehme	`pehmeks
minema	läks
ja	ja
et	et
tema	ta
juba	juba
vanuma	vanuma
uhtuma	`uhtuma
hakkama	`hakkas
ja	ja
siis	siss
saama	sai
viimaks	`viimuks
jälle	`jälle
laud	lauwa
peale	`peale
sealt	säält
võtma	`vöettud
ja	ja
käsi	`kätte
vahel	vahel
saama	sai
sedasi	sedas
rullima	rullit
seal	sääl
olema	oll
siis	siis
mitu	mittu
mitu	müttu
naine	naist
olema	oll
seal	sääl
kallal	kallal
siis	siss
amet	ammedis
saama	sai
väljast	väljast
ka	kaa
võtma	`vööttud
kui	kui
oma	omal
olema	pole
olema	oln
laud	lauwa
peal	pääl
siis	siis
veel	veel
teine	teist
rullima	rullitti
ja	ja
vanutama	vanuttatti
aga	äga
enne	`enne
labidas	labidadega
saama	sai
tema	ta
kõik	keik
pehme	`pehmeks
tampima	tambit
et	et
tema	ta
uhtuma	`uhtuma
hakkama	`hakkas
neh	neh
siis	siss
saama	sai
jälle	`jälle
kuivama	`kuivama
panema	`pandud
ja	ja
kui	kui
tema	ta
jälle	`jälle
ära	ära
värvima	värvit
saama	sai
siis	siss
saama	sai
jälle	`jälle
rulli	`rulli
rulli	`rulli
ajama	aet
tugevasti	tugevasti
ja	ja
soe	soe
ahi	`ahjus
saama	sai
siis	siis
see	see
kuivatama	kuivattat
veel	veel
et	et
siis	sis
e	e
et	et
tema	ta
sile	sileks
jääma	jäi
mis	miss
nüüd	nüid
jälle	`jälle
vahe	vahe
iga+päevane	ega+bäine
na	na
püksid	püksi
kangas	ka~nnas
olema	`olla
aga	äga
kui	kui
tema	ta
hakkama	akkadi
juba	juba
värvima	`värvima
need	neid
nagu	nagu
väljas	`väljas
siis	sii
olema	oli
Jausa	`Jaussas
ja	ja
kus	kuss
need	neid
värvima	värvidi
ja	ja
ja	ja
Haapsalu	Hap+saluss
ja	ja
siis	siis
olema	pole
miski+gi	midagid
saama	sai
kangas	ka~nnas
ära	ära
kuduma	kujut
ja	ja
saama	sai
sinna	`senna
saatma	saadet
ja	ja
ilus	ilus
kangas	ka~nnas
tulema	tuli
sealt	säält
tagasi	tagasi
jälle	`jälle
ja	ja
need	neid
saama	sai
läbi+villane	läbi+villased
saama	sai
tegema	`tehtut
ja	ja
need	neid
saama	sai
puu+vill	poom+villa
lõim	löime
ka	kaa
tegema	`tehtut
kuidas	kuidas
iga+üks	ega+ühel
tarvis	`tarvis
olema	oli
tarvis	tarvis
olema	oli
tegema	teha
ahh	ahh
need	neid
saama	sai
vahest	vahest
kirju	`kirju
tegema	`tehtut
ja	ja
ühe+värviline	ühe+värvilist
saama	sai
saama	sai
laskma	`lastut
nii+sama	nii+sama
värvima	`värvida
ka	kaa
ja	ja
need	need
kui	kui
lõng	löng
olema	oli
tarvis	`tarvis
värvima	`värvida
need	nee
saama	said
ikka	`ikka
kodu	kodus
värvima	värvit
ei	äi
mina	mena
see	seda
aeg	`aega
küll	küll
ei	äi
teadma	täa
need	need
vana+aegne	vana+`aegsed
värv	värvid
siis	siis
olema	olid
kutsuma	kutsudi
va	va
kübara+must	kübara+must
ja	ja
üks	üks
nimi	nimi
olema	oli
eht+must	eht+must
ja	ja
mis	mis
nemad	nad
olema	olid
mina	maa
olema	oli
siis	siis
nii	nii
lapselik	lapselik
ka	ka
veel	veel
mina	mina
olema	pole
need	nendega
värvima	`värvin
kui	kui
need	neid
tarvitama	tarvittadi
rätik	rättigud
olema	`olled
ikka	`ikke
pea	päas
nii	nii
vana	vanal
aeg	aeal
emm	emm
naine	naistel
naine	naised
müts	`mütsi
ei	äi
kandma	kannud
pruut	pruudil
olema	`olle
ikka	`ikke
tanu	tanu
tanu	tanu
ka	ka
pea	peas
esmaspäev	esma+ba
õhtu	`öhta
kui	kui
olema	old
pulm	`pulmad
siis	siss
olema	oll
pruut	pruudil
olema	oll
tanu	tanu
näitamine	`näitmine
tanu	tanu
panema	`pandi
pea	pähe
ja	ja
pruut	pruut
ja	ja
peig+mees	peig+mees
istuma	`istust
keset	keset
põrand	parandat
tool	`toolil
tool	`tooli
peal	peal
kõrvuti	körvutti
siis	siss
kes	kis
tanu	tanu
vaatama	`vaattama
tulema	`tulli
ja	ja
see	see
viskama	visand
siis	siis
pruut	pruudile
süli	`sülle
raha	raha
ka	kaa
ja	ja
kuidas	kuidas
iga+üks	ega+ühel
andma	`anda
olema	oli
siis	siis
pruut	pruut
korjama	`korjas
nii+moodi	nii+moodi
oma	omal
raha	raha
noh	noh
püha+päev	püha+ba
õhtu	`öhta
olema	oli
valge	`valge
kleit	kleit
olema	oli
ja	ja
teadma	täa
see	see
olema	oli
siis	siss
kuidas	kuidas
esmaspäev	esmas+päev
ja	ja
pulm	pulma
pulm	pulma
aeg	aeg
kuidas	kuidas
kuidas	kuidas
tema	tal
siis	siis
kleit	kleidid
olema	olid
nii+moodi	nii+`moodi
olema	olid
siis	siis
selg	seljas
tema	tal
oh	oh
pruut	pruudil
olema	old
ikka	`ikke
kui	kui
olema	old
pruut	pruudi
päev	päev
siis	siss
olema	old
ikka	`ikke
nihuke	neukst
king	ki?nnad
riie	`riidest
king	ki?nnad
olema	old
nahk	nahad
olema	old
need	nee
olema	old
ikka	`ikke
ostma	ostedud
kutsuma	kutsudi
prunell	prunellid
pruut	pruudi
prunell	prunellid
olema	pole
need	neid
siis	siis
mitte	`mitte
kodu	kodus
enam	änam
tegema	`tehtut
see	sell
aeg	aeal
kui	kui
mina	mina
olema	olin
näh	nähh
iga+päevane	ega+päevased
need	neid
tegema	tehedi
siis	siis
kodu	kodu
ja	ja
neh	nehh
need	nee
olema	olid
mina	maa
ei	i
teadma+ki	täägi
kutsuma	kutsuttase
saabas	`saappad
tegema	tehasse
pool	poolest
säär	säärest
natuke	natke
rõngas	rö^nnastega
saabas	`saappad
ikka	`ikka
kutsuma	kutsudi
ei	äi
olema	ole
noh	noh
siis	siis
olema	old
ikka	`ikka
nii	nii
väike	`väiksemad
king	kingad
no	no
need	need
olema	olid
prunell	prunellid
kutsuma	kutsudi
ja	ja
kuidas	kuidas
siis	siss
juba	juba
saama	`saada
olema	oli
need	neid
noh	nohh
vanasti	vanast
ikka	`ikka
ise	ise
tegema	`tehti
mees	mehed
tegema	tegid
king	`kingi
ise	ise
küll	küll
no	no
need	neid
tegema	tehedi
siis	siis
mis	mis
tikk	`tikkudega
tald	tallad
alla	`alla
lööma	`löödi
ja	ja
muist	muist
olema	old
siis	siss
nagu	nagu
kutsuma	kutsudi
Hiiu	Hiiju
Hiiu	Hiiju
rant	`rantti
mis	miss
sedasi	`seasi
rant	rant
välja+poole	välja+`poole
olema	oll
õmblema	ömmeldi
riie	riide
tald	tallad
alla	`alla
ja	ja
seuke	seust
sama	samad
kui	kui
mina	mull
praegu	praes
pastel	pastel
jalg	`jalgas
nii+sama+sugune	nii+sama+sugust
olema	olid
mina	mull
olema	on
need	need
küll	küll
ostma	ostet
ega	äga
mina	mull
olema	pole
ise	ise
tegema	`tehtut
siis	siis
tegema	tehedi
pastel	`pastlad
siis	siis
olema	old
ikka	`ikka
pastel	`pastlad
olema	old
jalg	jalas
jah	jahh
olema	onn
hein	eina
hein	heina
aeg	aeal
olema	old
ikka	`ikka
pastel	`pastlad
jalg	jalas
ei	äi
olema	ole
karvane	karvast
nahk	nahast
ei	äi
olema	ole
tegema	`tehtut
ilma	`ilma
karv	karvatta
nahk	nahk
olema	oli
seal	sääl
olema	oli
oma	oma
oma	oma
parkima	pargit
loom	looma
nahk	nahk
olema	oll
siis	siis
tapma	tappedi
ise	ise
loom	`loomi
ja	ja
parkima	pargidi
ise	ise
kodu	kodu
ära	ära
ka	ka
see	see
nahk	nahk
ja	ja
näh	näh
ei	äi
mina	mina
oskama	`oska
sedasi	sedasi
nüüd	nüid
siin	sii
ikka	`ikka
natuke	nattune
ikka	`ikka
siin	sii
nahk	`nahka
olema	oli
ka	ka
siin	sii
nina	nena
peal	päal
ja	ja
ja	ja
siin	sii
kand	kanna
taga	taga
olema	oli
ka	ka
väike	`väikke
õmblus	`ömblus
ja	ja
madal	madalad
asi	asjad
olema	olid
pael	`paeldega
pael	pael
käima	käis
pealt	pealt
läbi	läbi
jah	jahh
noh	nohh
vahest	vahest
olema	oll
kui	kui
pikk	pikkad
pael	paelad
olema	old
siis	siss
siduma	`siutti
ikka	`ikka
ümber	`ümber
säär	sääre
kah	kahh
pätakas	pättagad
mina	ma
ei	äi
oskama	`oska
seletama	selettada
nii+moodi	ni+moodi
riie	`riidest
panema	`pandi
tegema	`tehti
sukk	`sukkade
ümber	`ümber
ja	ja
jaa	jaa
tald	tald
olema	oli
all	all
ka	ka
jah	jahh
riie	`riidest
õmblema	ömmeldud
alla	`alla
siis	siis
käima	`käidi
kui	kui
külm	külm
aeg	aeg
olema	oli
käima	käidi
pätakas	pättagattega
et	et
olema	pole
märg	`märga
laskma	lasn
siis	siis
olema	oli
nii	nii
et	et
minema	läksime
aga	aga
heina+maa	heina+male
vikat	vigadit
saama	sait
terav	teravaks
tegema	`tehtut
ja	ja
niitma	`niitsime
seal	sääl
jaa	jaa
mõni+kord	möni+kord
olema	oll
nii	nii
kaugel	`kaugel
et	et
pidama	pidime
ikka	`ikka
öösi	`öösi
ka	kaa
ära	ära
olema	olema
heina+maa	eina+mal
vikat	vikkattidega
ikka	`ikke
noh	noh
kui	kui
olema	oli
ne	ne
kui	kui
olema	oli
suur	suur
paks	paks
rohi	rohi
siis	siis
saama	sai
nii	nii
kuidas	kuida
järjest	järjest
välja	`välja
niitma	niidet
e	e
ütlema	`ööldi
ikka	`ikke
ühe+jala+kaar	ühe+jala+kaared
ja	ja
kui	kui
olema	oli
vähem	vähemad
vähem	vähem
hein	hein
siis	siis
et	t
esiti	esitti
olema	oll
nii+moodi	nii+`moodi
siin	sii
vastu	`vastu
ja	ja
ja	ja
siis	siis
mis	mis
teine	teine
kord	kord
jälle	`jälle
järel	järel
kaks	kaks
siis	siis
et	t
vastas+kaar	vast+kaare
saama	sai
tegema	`tehtud
seda+moodi	seda+modi
noh	nohh
üks	üks
üks	üks
kolm	kolm
neli	neli
päev	`päeva
ikka	`ikka
minema	läks
ära	ära
kui	kui
kuiv	kuivad
ilm	ilmad
olema	olid
jah	jah
jah	jaahh
jah	jahh
jah	jahh
kui	kui
vahest	vahest
e	e
kui	kui
olema	oli
vihmane	vihmased
ilm	ilmad
siis	siis
saama	sai
rohkem	`rohkem
tema	teda
ikka	`ikke
kaarutama	kaaruttud
ja	ja
ja	ja
ja	jaa
vaev	`vaeva
nägema	`nähtud
ja	ja
siis	siiss
kokk	kokkaks
tegema	`tehtut
seal	sääl
ja	ja
noh	nohh
ütlema	`ütleme
siis	s
need	nee
vahest	vahest
jääma	jähi
väiksem	`väiksemaks
teine	teine
tulema	tuli
juba	juba
teine+kord	teine+kord
tulema	tuli
juba	juba
inimene	inimese
pea	pää
kõrgus	`körgust
nii+moodi	nii+`moodi
saama	sai
tegema	`tehtud
ikka	`ikke
ja	ja
noo	nnoo
jah	jahh
siis	siis
saama	sai
ikka	`ikke
panema	`pandud
siis	siis
olema	olid
e	e
jälle	`jälle
hobune	obused
abi	abiks
regi	reed
olema	olid
hobune	`oostel
järel	järel
kokk	kokka
regi	reed
need	`nende
peale	`pääle
saama	said
hein	einad
panema	`pandud
ja	ja
vedama	vedasime
siis	siiss
ladu	lau
juurde	juure
kui	kui
nemad	nad
kuiv	kuivad
olema	olid
hein	eina
ladu	laud
ütlema	`ütlesime
ikka	`ikke
mõni	möned
ütlema	`ütlevad
küün	küinid
jaa	jaa
e	e
see	see
saama	sai
nii	nii
panema	`pandud
et	et
e	e
ajama	aeasime
ikka	`ikka
hang	hangud
olema	olid
siis	siss
hang	`hangusi
hanguma	`hangusime
ikka	`ikka
sinna	senna
ladu	`lattu
ja	ja
öösi	`öösi
saama	sai
magama	magat
seal	sääl
hein	heintte
peal	pääl
ladu	laus
kui	kui
kui	kui
meie	me
ööse	`ööse
ära	ära
olema	olime
ja	ja
seal	sääl
saama	sai
nii+sama	nii+sama
sääsk	sääsid
tulema	tulid
kallale	kallale
ja	ja
kärbes	`kärpsed
nagu	nagu
siin+gi	`siin+gi
oh	ohh
kartul	kardulit
saama	sai
ikka	`ikke
keetma	keedettud
kaasa	`kaasa
ja	ja
ja	ja
ja	ja
vahest	vahest
keetma	`keetsime
seal	seal
ka	kaa
veel	veel
keetma	`keetsime
kartul	kardulit
ka	kaa
ja	ja
sepik	seppigu
leib	`leiba
saama	sai
tegema	`tehtud
sai	`saija
olema	oli
na	naa
vähe	vähe
saama	`saada
see	seda
vahest	vahest
saama	sai
ka	kaa
kaasa	`kaasa
võtma	`vööttud
ja	ja
kes	kes
jälle	`jälle
pood	`poodides
käima	käis
ja	ja
see	seda
tooma	töi
ja	ja
see	see
see	see
must	must
rukis	rukki
leib	leib
see	see
olema	oli
ikka	`ikke
pea+aine	pea+aine
ja	ja
või	vöid
ja	ja
siis	siiss
kala	kalad
ka	kaa
ja	ja
piim	`piima
ja	ja
e	e
mis	mis
see	see
olema	oli
meie	meil
olema	aa
praegu	`praegu
ankur	`ankrud
siin	sii
kui	kui
olema	oleks
nägema	näha
saama	`saada
tahtma	tahet
ankur	`ankrutte
sees	sees
saama	sai
panema	`pandud
kuulma	kuule
minema	mine
tooma	too
sealt	säält
vaatama	vaada
tuba	tuast
vaatama	vaada
mina	muu
mina	muu
teadma	`tääda
pidama	peaks
seal	sääl
olema	olema
las	lass
poiss	poiss
minema	läheb
tooma	toob
ära	ära
siis	siis
nägema	`näette
ka	kaa
need	need
olema	olid
mõni	möni
võtma	`vöttis
kümme	kümme
liiter	`liittert
sisse	`sisse
teine	teine
võtma	vöttis
neli	neli
ja	ja
viis	viis
liiter	`liittert
väiksem	`väiksemad
ja	ja
nii+moodi	nii+`moodi
ikka	`ikka
ja	ja
need	`nendega
saama	sai
siis	siis
kali	`kalja
viima	`viidut
ee	ee
heina+maa	eina+`maale
kaasa	`kaasa
ja	ja
jaa	jaa
ja	ja
ja	ja
vahest	vahest
saama	sai
õlu	ölut
ka	ka
tegema	`tehtud
veel	veel
oma	oma
kodu	kodu
õlu	ölut
küün	küinid
olema	olid
heina+maa	eina+maa
peal	päal
ja	ja
need	need
vedama	`veetti
talv	`talvel
siis	siis
ära	ära
kui	kui
e	e
lumi	lumi
maha	maha
tulema	tuli
esimene	esimese
ilma+sõda	ilma+söa
aeg	`aega
mina	mina
tulema	tulin
Nõmba	`Nömbe
mets	metsast
siit	siit
see	see
olema	oli
üks	üks
üks	üks
kümme	kümme
kilo+meeter	kilu+`meettert
maa	maad
olema	onn
see	seda
maa	maad
mina	mull
olema	oli
sealt	säält
tooma	`tuuwa
e	e
mina	mul
olema	oli
mina	mul
olema	oli
eh	ehh
seal	sääl
üks	üks
teine	teine
inimene	inimene
aitama	`aittas
mina	mind
sealt	säält
hein	`heinu
e	e-e
jälle	jälle
koorem	`koormaks
tegema	teha
ja	ja
nemad	nemad
minema	läksid
sealt	säält
jälle	`jälle
Tubala	Tubala
poole	`poole
sealt	säält
Nõmba	`Nömbast
ja	ja
ja	ja
mina	mina
hakkama	`hakkasin
nüüd	nüid
jälle	`jälle
Nõmba	`Nömbast
siia	`siije
siia	`siije
tulema	tulema
kui	kui
teie	te
kui	kui
teie	te
teadma	`teatte
vahest	vahest
need	neid
tee	`teesid
tulema	tulin
siia	`siija
e	e-e
Loja	Lejale
välja	`välja
jah	jahh
ja	ja
ja	ja
siis	siis
olema	oli
nii	nii
et	et
mina	mul
olema	oli
põlv	pölvest
saadik	saadik
lumi	lund
ja	ja
käima	käisin
see	selle
tee	tee
e	e
üks	üks
kümme	kümme
kilo+meeter	kilu+`meettert
e	e
mhh	mhh
koorem	`koorma
kõrval	`körvas
ära	ära
e	e
seal	sääl
Lao+mägi	Lao+mäl
tulema	tuli
mina	`mulle
mees	mees
vastu	`vastu
veel	veel
ütlema	`ütleb
et	et
na	na
kas	kas
sina	sa
suutma	suudad
nüüd	nüid
ikka	`ikke
läbi	läbi
astuma	`astuda
ka	kaa
jah	jahh
ja	ja
ime	imeks
panema	`pannes
õhtu	`öhta
tulema	tulen
kodu	kodu
panema	panen
hein	heinad
pööning	pööningule
siis	siis
olema	ond
laps	lapsed
ja	ja
loom	loomad
ja	ja
olema	pole
tundma+ki	tunnungid
et	et
et	et
mina	ma
olema	oleks
see	sellest
nii	nii
väga	väga
väsima	väsin
olema	oln
aga	aga
nägema	näet
sina	sa
nüüd	nüid
kui	kui
vanadus	vanaduse
päev	päevad
tulema	tulevad
tegema	tee
mõni	möni
samm	samm
juba	juba
väsima	väsin
olema	oleks
võima	vöin
olema	`olla
küll	küll
aga	aga
aga	äga
vaatama	`vaatta
koorem	koorm
minema	läheb
küliti	külitti
pidama	pidid
hool	hoolega
varuma	varuma
mina	ma
ei	i
jaksama	`jäksa
üksi	üksi
õige	`öigeks
ajama	aada
jälle	`jälle
kui	kui
tema	ta
regi	ree
peal	pääl
küliti	külitti
minema	läheb
noh	nohh
mõni+kord	möni+kord
olema	oli
teine+kord	teine+kord
olema	pole
olema	oln
mina	maa
ütlema	`ütlen
et	et
mina	maa
pidama	pidin
just	jus't
just	jus't
koorem	`koorma
kõrval	`körvas
käima	`käima
e	e
pehme	`pehme
lumi	lume
sees	sees
põlv	pölvest
saadik	saadik
noh	nohh
ja	ja
tee	tee
olema	oli
siis	siis
muidugi	muidugid
nüüd	nüid
ikka	`ikka
e	e
läbi	läbi
ajama	aeat
tee	tee
olema	oli
tasane	tasane
ka	kaa
aga	aga
aga	aga
mõni+kord	möni+kord
tema	taa
viskama	`viskas
ju	ju
küll	küll
küljeli	küljeli
ka	kaa
siis	siis
olema	ole
mure	mures
et	et
ei	äi
kuule	kule
sina	sa
võima	vöid
need	need
nüüd	nüid
välja	`välja
tõstma	`tösta
poiss	poiss
ajama	aab
ise	hennast
määrima	määrib
ära	ära
nemad	naad
tolm	`tolmu
täis	täis
heitma	heida
uks	ukse
taha	taha
välja	`välja
jah	joahh
sepp	seppad
tegema	tegid
ise	ise
jah	jahh
ja	ja
ja	ja
ja	ja
kodu	kodus
kes	kellel
olema	olid
mees	mihed
kodu	kodus
need	need
tegema	tegid
ise	ise
need	need
reha	rehad
puu	puud
puu	`puudest
ikka	`ikke
aga	aga
siis	siis
sepp	seppad
taguma	tagusid
ikka	`ikka
jälle	`jälle
e	e
vikat	vikkattid
valmis	`valmis
ja	ja
jah	jaah
iga	ega
inimene	inimese
jaoks	jäuks
ikka	`ikka
pidama	pidi
olema	olema
ja	ja
ja	ja
siis	siis
need	neid
pidama	pidi
olema	olema
kasu	kasuks
ka	kaa
et	et
minema	läheb
vahest	vahest
mõni	möni
rikki	rikki
jaa	jaa
ikka	`ikka
need	nee
see	sene
käi	käija
peal	pääl
käi	käijal
olema	on
vänt	vänt
siis	siis
väntima	vändidakse
see	seda
nii+moodi	nii+`moodi
ümber	`ümber
ja	ja
noo	noo
muidugi	muidugit
pidama	peab
ikka	`ikka
viluma	vilun
inimene	inimene
olema	olema
kes	kess
kes	kess
see	seda
käiama	`käijab
muidu	muidu
mõni	möni
laskma	laseb
e	e
liiga	`liiga
põiki	`pöikki
eest	eest
see	selle
tera	tera
noh	nohh
ega	äga
tema	ta
nii	nii
liiga	`liiga
olema	pole
minema	läin
see	see
saama	sai
ikka	`ikke
seda+moodi	seda+modi
tegema	`tehtud
et	et
pärast	pärast
olema	olid
luisk	luisad
need	neid
kui	kui
tema	ta
kui	kui
vähe	vähe
nürim	nüridamaks
minema	läks
siis	siis
luisk	luisaga
tõmbama	tömmadi
jälle	`jälle
eest	eest
läbi	läbi
ja	ja
e	e
nüüd	nüid
olema	on
ikka	`ikka
nii+sama+sugune	nii+sama+sugusi
luisk	`luiske
ka	kaa
mina	ma
olema	olen
nägema	näin
kui	kui
siis	siis
olema	oli
ähh	ähh
ei	äi
olema	ole
umbes	`umbas
üks	üks
üks	üks
üks	üks
nõnda	nönna
pikk	pikkad
nemad	näd
sihuke	sihanded
olema	olid
pihk	pihu
pihk	piuga
olema	oli
seal	seal
vikat	vikkatti
e	e
varn	varna
peal	peal
ja	ja
mõni	möni
panema	pani
oma	omal
vöö	vöö
vahele	vahele
ka	kaa
mees	mehed
ja	ja
nii	nii
kuidas	`kuidas
iga+üks	iga+üks
tahtma	`tahtis
jah	jaahh
vaatama	`vaatta
see	see
tali+vili	tali+vili
rukis	rukkid
need	need
saama	said
ikka	`ikke
sirp	sirbiga
lõikama	löigattud
selle+pärast	selle+pärast
et	et
need	nei
need	nende
õlg	`ölgedest
saama	sai
jälle	`jälle
katus	kattust
tegema	`tehtud
ja	ja
jah	jahh
ja	ja
ja	ja
mõni	möni
niitma	`niittis
ka	ka
vikat	vikkattige
kes	killel
olema	pole
katus	kattuse
õlg	`ölgi
tarvis	`tarvis
olema	oln
aga	aga
siis	siis
suve+vili	suve+vili
see	see
saama	sai
ikka	`ikke
vikat	vigattige
oder	odrad
ja	ja
kaer	kaerad
ja	ja
vikat	vigattige
ära	ära
maha	maha
niitma	niidettud
mm	mm
kas	kas
teie	te
sirp	`sirppi
ka	ka
nägema	näha
tahtma	tahatte
ah	ah
olema	olette
nägema	näin
oh	ohh
ikka	`ikke
ikka	`ikke
käsi	käes
seda+viisi	seda+`viisi
ja	ja
siis	siis
sirp	sirbiga
tõmbama	tömmadi
seda+moodi	seda+modi
ikka	`ikka
nii	nii
palju	`palju
et	et
pihk	piuga
saama	sai
vastu	`vasta
võtma	`vöettud
siit	siit
peo+täis	piu+täis
ja	ja
seda+moodi	seda+modi
saama	sai
ikka	`ikke
olema	oli
pihk	piu
täis	täis
ja	ja
siis	siis
panema	`pandi
panema	`pandi
tema	ta
maha	maha
noh	nohh
kaks	kaks
peo+täis	piu+täit
saama	sai
tugev	tugevat
peo+täis	piu+täit
saama	sai
ikka	`ikka
maha	maha
panema	`pandut
ja	ja
siis	siis
väike	`väiksed
vihk	vihud
saama	said
seda+moodi	seda+modi
e	e
jälle	`jälle
kokku	kokku
siduma	`siuttud
jah	jahh
kui	kui
olema	pole
kes	kellel
olema	pole
laps	`lapsi
olema	oln
vähene	vähesed
laps	lapsed
olema	olid
ikka	`ikke
siduma	sidumas
kes	kellel
need	neid
olema	pole
olema	oln
need	need
siduma	sidusid
ise	ise
jälle	`jälle
kohe	kohe
kohe	kohe
jah	jahh
kohe	kohe
saama	sai
siduma	`siuttud
a	a
kui	kui
kui	kui
kui	kui
ikka	`ikka
laps	lapsed
järel	järel
olema	olid
siduja	sidujad
järel	järel
olema	olid
e	e
siis	siis
saama	sai
kohe	kohe
ära	ära
siduma	`siuttud
siis	siis
tegema	tehedi
naber	`naabrid
valmis	valmis
e-e	e-e
ütlema	`ütleme
et	et
üks	üks
üks	üks
üks	üks
üks	üks
üks	üks
süld	sülla
laiune	laijune
maa	maa
seda+moodi	seda+modi
olema	oli
küll	küll
kui	kui
e	e
sedasi	sedasi
kokku	`kokku
panema	`pandi
esiti	esitti
panema	`pandi
nii	nii
kui	kui
see	see
siin	siin
olema	onn
kolm	kolm
vihk	`vihku
kõrvuti	körvutti
ja	ja
siis	siis
siduma	`siudi
siit	siit
kokku	`kokku
panema	`pandi
nii+moodi	nii+`moodi
maha	maha
ja	ja
siis	siis
hakkama	hakkadi
siia	`siija
ümber	`ümber
seda+moodi	seda+modi
laduma	laduma
mh	mh
ega	ega
seal	seal
olema	pole
see	seda
arv	`arvu
küll	küll
teadma	`teada
olema	oln
aga	äga
nii	nee
suur	suured
ikka	`ikka
saama	said
tegema	`tehtud
et	et
et	et
pea+aegu	pea+`aegu
tulema	tuli
inimene	inimese
kõrgus	`körgus
ära	ära
see	se
naber	`naaber
neh	nehh
nii	nii
kuidas	kuidas
tema	ta
suurus	suurus
olema	oli
üks	ühe
naber	`naabrist
saama	sai
ikka	`ikke
juba	juba
koorem	`koorma
kah	kahh
ja	ja
kui	kui
olema	olid
väiksem	vähiksemad
siis	siis
saama	sai
teine	teisest
ka	ka
panema	`pandud
noh	nohh
ega	äga
see	seda
kaua	kauwa
olema	pole
seal	seal
hoidma	`oittud
siis	siis
hakkama	hakkadi
juba	juba
varsti	`varsti
panema	`pandi
rehe+tuba	rehe+duad
olema	olid
panema	`pandi
sinna	`sinne
pars	partte
peale	`pääle
üles	üles
hakkama	hakkadi
kuivatama	kuivattama
ja	ja
ja	ja
siis	siis
rehi	`rehte
rabama	rabama
ja	ja
need	need
pars	parred
olema	olid
nii	nii
e	e
kõrgel	`körgel
et	et
et	et
inimene	inimene
alt	alt
võima	vöis
läbi	läbi
käima	`käija
jaa	jaa
ja	ja
siis	siss
et	t
tema	tall
olema	oli
suur	suur
kõrge	`körge
pink	pink
ütlema	`ütleme
et	et
laud	lauwa
kõrgus	`körguse
pink	pink
ja	ja
siis	sis
et	t
see	see
panija	panija
kes	kes
seal	sääl
olema	oli
e	e
panema	pani
sinna	senn
pars	partte
peale	`pääle
ja	ja
teine	teine
andma	`andis
alt	alt
jälle	`jälle
tema	taale
vihk	vihud
käsi	`kätte
juba	juba
see	see
panema	pani
sinna	`senna
üles	ülese
siis	sis
ja	ja
ohoh	ohoh
need	nei
kaks	kaks
olema	oli
ikka	`ikka
kõrvuti	körvutti
ja	ja
olema	oli
see	see
rida	rida
täis	täis
panema	`pandud
siis	siis
olema	oli
lükkama	lükkadi
jälle	`jälle
kaks	kaks
pars	part
ette	`ette
ja	ja
jälle	`jälle
jälle	`jälle
panema	`pandi
täis	täis
nii+viisi	nii+`viisi
mh	mh
seal	sääl
olema	olid
siis	siis
väike	väikst
nii+sugune	nii+sugust
väike	väikst
väike	väikst
haralik	haralikkud
ork	orgid
need	`nendega
lükkama	lükkadi
pars	parred
alt	alt
ära	ära
siis	siis
tulema	tulid
pihu	pühud
alla	`alla
noh	nohh
sinna	senne
saama	sai
ikka	`ikka
kui	kui
olema	oli
kuiv	kuiv
aeg	aeg
kaks	kaks
kaks	kaks
kolm	kolm
kütt	`kütti
see	see
saama	sai
ikka	`ikka
e-e	e-e
jälle	`jälle
e	e
juba	juba
kuiv	kuivaks
siis	siis
tegema	tehedi
nii+viisi	nii+`viisi
jälle	`jälle
et	et
see	see
suur	suur
see	see
pink	pink
ee	ee
kes	killega
peal	pääl
nemad	nad
sinna	`senna
üles	üles
panema	`pandi
e	e
see	see
olema	oli
see	see
panema	`pandi
jälle	`jälle
sinna	senne
rehi	rehe
järg	järje
peale	`pääle
teine	teised
olema	on
inimene	inimest
olema	old
ütlema	`ütleme
teine	teist
kaks	kaks
olema	oli
teine	teise
ots	otsa
peal	pääl
ehk	ähk
olema	oli
vähem	vähem
rabaja	rabajit
siis	siis
olema	oli
üks	üks
ee	ee
seal	sääl
ots	`otsas
ja	ja
siis	siis
nemad	nad
rabama	rabasid
nii+moodi	nii+`moodi
need	need
see	selle
vili	`vilja
sealt	säält
välja	`välja
noh	nohh
kui	kui
vili	vili
olema	oli
juba	juba
ära	ära
rabama	rabat
see	see
panema	`pandi
siis	siis
veel	veel
viima	`viidi
rehi	rehe
koda	`kotta
tegema	tehedi
sedasi	sedasi
lade	lademeks
siis	siis
olema	oli
maha	maha
sedasi	sedasi
siis	siis
lõikama	leigadi
need	need
väike	`väiksed
