pahem+pidi	pahem+bidi
kipper	`kipper
siis	siis
need	nee
panema	pani
vari+kala	vari+galad
oma	omale
mis	mis
sinna	`senne
paat	paadi
põhi	`böhja
varisema	varist
see	see
vist	vist
olema	oli
nii+moodi	nii+`moodi
jah	jahh
üks	üks
ehk	ähk
kaks	kaks
mees	meest
olema	olid
ikka	`ekka
paat	paadi
paat	paadi
pere+mees	pere+mehed
ja	ja
teine	teised
olema	olid
muidu	muidu
väljast	väljast
siis	siis
kaasas	kaas
nõnda	nönna
et	et
aprilli+kuu	aprilli+kuus
minema	läksime
ja	ja
jaani+päev	jaani+bä
lau+päev	`laubaks
sedasi	sedasi
tahtma	tahedi
ikka	`ekka
kodu	kodu
kodu	kodu
jõudma	`jöuda
ja	ja
kui	kui
tuul	tuul
hea	hea
olema	oll
siis	siis
saama	sai
ka	kaa
aga	aga
kui	kui
tuul	tuul
vahest	vahest
vastu	`vasta
olema	oli
siis	siis
minema	läks
vast	vast
päev	pääv
üle	üle
ka	kaa
seal	sääl
ah	ahh
nemad	neil
olema	oll
sihukesed	söukst
kutsuma	kutsudi
ui	huid
kes	kelle
peal	päal
lõng	löng
olema	oli
ja	ja
siis	siis
olema	`olle
kala	kala
kalasi	kalas
kes	kelle
kes	kelle
ümber	`ümber
see	se
panema	`pandi
ja	ja
siis	sis
seda+moodi	seda+`moodi
kuduma	kujudi
heitma	heidedi
siit	siit
tõmbama	tömmad
kalasi	kalasi
ja	ja
jälle	`jälle
teine	teise
silm	silmast
läbi	läbi
ja	ja
sõlm	sölm
peale	`päale
ja	ja
ja	ja
eks	eks
harjumine	`harjumine
see	see
olema	olli
see	selle
käes	kää
käima	käis
tema	ta
nii	nii
kergesti	`kergest
ja	ja
ruttu	`ruttu
et	et
ei	äi
olema	ole
see	see
olema	oll
suur	suur
võrgu+hark	vörgu+hark
kutsuma	kutsudi
suur	sur
hark	hark
olema	`olle
siis	siis
sinna	`sõnna
ümber	`ümber
keerama	`keerdi
seal	sääl
vastalt	vastald
ja	ja
ja	ja
kui	kui
saama	sai
ära	ära
kuduma	kujuttud
näh	nähh
siis	siis
tema	ta
venima	venis
sealt	säält
jälle	`jälle
nõnda	nönda
välja	`välja
vedama	`veetti
lai	laijaks
ja	ja
seal	sääl
olema	`olli
töö	tööd
siis	siis
küll	küll
siis	siss
ajama	`aedi
jälle	`jälle
alla	`alle
alla	`alle
panema	`pandi
nöör	`nööri
ja	ja
peale	`päale
tulema	`tullid
ka	kaa
jälle	`jälle
nöör	`nööri
ja	ja
saama	saad
sealt	säalt
käba	käba
käba	käbad
kes	kenn
siis	sis
see	sen?
panema	`pande
käba	käbad
võtma	vötsid
jälle	jälle
teine	teise
ots	otsa
üles	üless
kui	kut
meri	meres
olema	`ollid
ja	ja
teine	teise
ots	otsa
tulema	`tullid
jälle	`jälle
olema	`ollid
kotus	kottused
kuduma	kujudi
ikka	ikka
jälle	`jälle
jäme	jäme
lõng	lö?nnast
seal	sääl
olema	`ollid
kivi	kivid
olema	olid
sees	sees
see	see
kivi	kivid
hoidma	`hoitsid
siis	siis
see	se
teine	tene
ots	otsa
all	all
kui	ku
nemad	nad
meri	meres
olema	olid
mis	miss
kivi	kivid
sees	sees
olema	olid
ja	ja
see	see
mis	miss
käba	käbad
peal	pääl
olema	olid
see	see
hoidma	`oitti
see	see
olema	oli
vesi	vee
peal	peal
kui	ku
nemad	nad
meri	meres
olema	olid
mänd	männi
koor	koorest
ja	ja
ja	jaa
enne+vanasti	enne+vanasti
mina	maa
ep	p
teadma	tää
ju	ju
see	see
kork	korgi
korgi+puu	korgi+puu
olema	`olli
ka	kaa
see	see
olema	on
see	seda
see	see
olema	pole
mitte	`mette
siit	siit
Hiiu+maa	Iiju+maalt
saama	saadud
ju	ju
see	see
väljast	väljast
väljast	väljast
siis	siis
saama	`saadi
või	vöi
ostma	ostedi
või	vöi
aga	aga
enem+jagu	änem+jagu
olema	olt
vana	vana
vana	vana
suur	`suurde
mets	`metsade
seest	seest
korjama	korjat
mänd	männi
koor	koored
paks	paksud
mänd	männi
koor	koored
need	nendest
tegema	`tehti
käba	käbad
kotus	kottused
kuduma	kujudi
va	va
jäme	jäme
takune	takkusest
lõng	lö?nnast
nii+sama	nii+sama
nii	nii
kui	kui
üks	üks
väikene	`väikkene
kott	kott
tema	ta
mina	mu
sõrm	sörme
pikkus	pikkus
võima	vöis
olema	`olla
ja	ja
siis	siis
seal	sääl
jälle	`jälle
olema	`ollid
siis	siis
peal	pääl
lõng	lö?nnad
ka	kaa
kus	kuss
jälle	`jälle
sinna	`sönna
nöör	nööri
külge	`külge
kinni	`kinni
kinni	`kinni
toppima	toppidi
ja	ja
pistma	pistedi
ja	ja
siis	siss
seal	seal
kivi	kivi
pistma	pistedi
sinna	`sönna
panema	`pandi
sinna	`sönna
sisse	`sesse
ja	ja
need	nee
kutsuma	kutsudi
nii+sugused	nii+sugust
asi	asjad
olema	old
siis	sis
kotus	kottused
jah	jahh
need	nee
kutsuma	kutsudi
kutsuma	kutsudi
ain	aina
e	e-e
mina	mina
ei	äi
teadma	täa
need	nende
nimi	nimesid
need	nende
mis	mis
asi	asjad
e	e
need	nende
e	e
