nemad	nad
kus	kus
nemad	nad
siis	s
viima	`viit´ti
noh	nohh
natuke	nattukke
vesi	vett
panema	`pan´tti
peale	`piäle
ja	ja
ja	ja
siis	siis
panema	`pan´tti
riie	riije
peale	`piäle
ja	ja
tõmbama	`tõmmab
koorik	kooriksed
pehme	`pehmes
jah	jahh
siuke	siukke
asi	asi
olema	ol´li
jah	jahh
noh	nohh
kus	kuss
keegi	`kiigi
keegi	kellegil
pani+paik	pan´i+baik
olema	ol´li
eks	eks
tema	ta
sinna	senna
viima	`viit´ti
mõni	`mõnda
kirst	`kerstu
või	või
kuidas	kuidas
hapu	appu
leib	`leibä
ikka	ikki
see	sedä
rukki+leib	`rukki+`leibä
ega	eg
siis	s
enne	`enne
mõni	`mõnda
nisu	nisu
või	või
keegi	kedägi
siis	s
natuke	nattukke
vahest	vaest
olema	`ol´li
ei	ei
olema	põlnt
keegi	kedägi
noh	nohh
pärm	pärmiga
kergitama	kergittadi
ja	ja
eks	eks
ikka	`ikki
siis	siss
tegema	`tehtud
nii+sama	ni+sama
ahi	ahjus
need	neid
no	no
kaua	kauvva
jah	jahh
nisu+leib	nisu+`leiba
kastma	kastetti
ikka	`ikki
kaua	kauvva
elu+aeg	elu+aeg
nooh	noohh
mis	miss
seal	siäl
tundma	tunda
tema	ta
minema	lähäb
ju	ju
sitke	`sikkes
karask	karas´kid
odra+karask	odra+karas'k
jah	jahh
noh	nohh
kartul	`karttult
panema	`pantti
ja	ja
ikka	`ikki
siis	siis
siuke	`siukkest
vedelik	vedelikkus
noh	nohh
mis	miss
keegi	kellegil
olema	`ol´li
piim	`piima
või	või
üks+kõik	üks+kõik
mis	miss
ja	ja
ikka	`ikki
kastma	kastet´
sina	sa
siis	ss
muidu	mud´u
ei	ei
saama	saa
ju	ju
jaah	jaahh
nüüd	nüid
minema	lähän
ära	ärä
aga	aga
mina	ma
praegu	`praegu
mina	ma
vaatama	`vaattan
veel	vel
oma	oma
kartul	`karttulisi
leiva+päts	levä+bät´sid
tegema	`tehti
siuke	`siuksed
pikerik	pikkerikkud
siuke	`siuksed
ikka	`ikki
ja	ja
siis	sis
nii	ni
kõrge	`kõrged
paks	paksud
jah	jahh
ja	ja
siis	sis
need	nid
karaski+päts	karaski+pättsid
või	või
mis	miss
ütlema	`öeldi
nii	nii
oder	odrast
tegema	`tehtud
no	no
need	niid
olema	ol´lid
siuke	`siukkest
jälle	`jälle
siis	s
madal	madalad
ümmargune	ümmärgused
vahest	vaest
panema	`pan´tti
kapsa+leht	`kapsa+lehe
peale	`piäle
ja	ja
noh	nohh
nisu+leib	nisu+leiväd
ikka	`ikki
kah	kahh
ikka	ikki
siuke	siukkest
ümarik	ümärikkud
tegema	`tehti
jah	jahh
no	no
siis	siss
ütlema	`öeldi
et	et
leib	leib
olema	on
nätske	`nätske
ja	ja
olema	ol´li
kah	kah
jutt	jut´t
jääma	jäi
alla	`alla
no	no
koorik	koorikku
lahti	`lahti
ka	kaa
aga	aga
siis	sis
ikka	`ikki
siuke	`siukke
mm	mm
magus	magus
ja	ja
nätske	`lätske
ei	eij
olema	ole
hea	iä
jah	jahh
siuke	`siukke
asi	asi
olema	ol´li
siis	siss
jah	jahh
no	no
mis	miss
siis	sis
ikka	`ikki
mis	mis
sina	sa
nüüd	nüid
seal	säl
teadma	tiäd
see	sest
ahi	ahjust
esiteks	`es´tiks
aga	aga
kui	kui
tema	ta
olema	onn
siukene	`siukkene
