trampima	`tramppist
ka	kaa
enne	ennem
ja	jaa
siis	siss
ja	ja
kui	kui
lõng	lö^ngad
otsas	otsas
siit	sit
pidama	pidi
siis	siis
pidama	pidi
laius	laijus
käsi	kää
olema	olema
ikka	`ikke
ikka	`ikke
see	see
pidama	pidi
ühe+tasaselt	öhe+tasaselt
olema	olema
see	see
pidama	pidi
ikka	`ikka
nii	nii
kõvasti	kövaste
käima	`käima
et	t
ei	äi
see	seda
tohtima	`tohtind
seal	seal
alla	`alla
laskma	`lasta
ühti	`ühtid
siis	siis
sina	su
kangas	ka^ngas
minema	läks
segamini	segamesi
kui	kui
sina	sa
see	see
jälle	`jälle
loosima	loosidi
ikka	`ikka
nüüd	nüid
järjest	järjest
sinna	`sinna
alla	`alla
ja	ja
kui	kui
tema	ta
vähe	vähe
palju	`palju
lai	laijad
tulema	tuli
siis	siis
lükkama	`lükkast
kokku	`kokku
ja	ja
et	et
ikka	`ikka
pidama	pidi
sinna	`senna
peal	pääl
kõik	keik
ilusasti	ilusti
mahtuma	`mahtuma
ja	ja
järjest	järjesti
käima	käima
muidu	muidu
olema	pole
tohtima	`tohtind
ei	ei
see	sell
rist	rista
olema	pole
tohtima	`tohtind
panema	`panna
siis	siss
olema	pole
kangas	ka^ngas
käima	käind
kah	kahh
see	seda
hoidma	oida
saama	sai
kui	kui
sina	sa
hakkama	`akkast
ülalt	ülelt
ülalt	ülalt
tulema	tulema
ehk	ehk
hakkama	akkast
alt	alt
minema	menema
sina	sa
pidama	pidid
ikka	`ikka
sealt	seald
alt	alt
äär	äärest
kaudu	kauttu
ikka	`ikka
minema	minema
nii	nii
kaua	kau
kui	kui
sina	sa
üles	üless
saama	said
ja	ja
panema	panid
üles	üless
risti	`risti
ja	ja
tulema	tulid
jälle	`jälle
alla	`alla
need	nendel
olema	oli
suur	sur
tihv	tihva
seal	seal
sees	sees
olema	olid
sina	su
käes	kääs
kera	kerad
olema	olid
riist	riista
sees	sees
ka	kaa
jälle	jälle
seal	seal
all	all
segamini	segameste
olema	pole
tohtima	`tohtind
minema	`minna
üks+kõik	üks+keik
mis	miss
sina	sul
siis	siis
olema	oli
olema	oli
tema	ta
korv	korv
või	vöi
olema	oli
tema	ta
vakk	vakk
või	vöi
kast	kast
või	vöi
mis	miss
sina	sull
siis	siss
käe+pärast	kää+pärast
olema	oli
ämber	`ämber
ehk	ehk
ikka	`ikka
jaa	jaa
siis	siis
siduma	sidust
rist	ristid
kinni	`kinni
ja	ja
võtma	vötsid
jälle	`jälle
ülalt	ülald
rist+puu	rist+puu
ära	ära
ja	ja
siis	siis
hakkama	`akkast
tema	teda
lappima	`lappima
sedasi	sedass
kangas	`kangast
läbi	läbi
või	vöi
näh	nähh
sedasi	sedass
sõrg	`sörkkadest
läbi	läbi
ei	äi
näh	nähh
tema	taa
pidama	pidi
enne	`enne
rist	ristid
ikka	`ikka
kinni	`kinni
siduma	siduma
enne	`enne
kui	kui
maha	maha
jaa	jaa
jaa	jaa
rist	ristid
rist	ristid
küll	küll
kinni	`kinni
siduma	siduma
aga	aga
siis	siis
olema	oli
sihuke	`seune
naa	naa
kui	kui
olema	oleks
palistama	palistud
pats	pats
olema	olevad
sihuke	seun
suur	sur
korv	korvi
täis	täis
olema	oli
sina	sull
seal	sääl
saama	sai
ka	kaa
saama	sai
küll	küll
aga	aga
muidugi	muidugid
kes	kess
naa	naa
noor	noor
inimene	inimene
olema	oli
olema	pole
julgema	`julgend
siis	siss
teine	teine
pidama	pidas
ka	kaa
pisut	pisut
et	et
tema	taa
laskma	laseb
ju	ju
alla	`alla
kui	kui
tema	ta
löödale	`löödale
minema	läheb
siis	siss
olema	oli
kangas	ka^ngas
lapiti	lappitti
näh	näähh
kuidas	kuidas
sina	sull
aeg	`aega
olema	oli
ja	ja
asi	asi
olema	oli
kui	kui
sina	sull
telg	teljed
juba	juba
sees	sees
olema	olid
võib+olla	vöib+`olla
et	t
looma	loosid
teine	teise
päev	pää
juba	juba
kangas	`kanga
ära	ää
kolmas	kolmanda
päev	päeva
enne	ennem
siis	siss
seisma	`seisis
korv	korvi
sees	sees
nii	nii
kaua	kauwa
kui	kui
telg	teljed
sisse	`sisse
tooma	`toodi
ja	ja
siis	siis
hakkama	akkedi
minema	läks
juba	juba
sedasi	sedasi
nii	nii
kui	kui
kui	kui
ots	otsani
sedasi	sedass
lapiti	lappidi
mina	maa
ütlema	ütlesi
et	et
sihuke	seun
naa	naa
olema	oleks
palistama	palistud
pats	pats
olema	olevad
olema	oli
viimaks	`viimaks
sihuke	seun
suur	suur
känk	känk
sina	su
käes	kää
sina	sa
vedama	vedast
iga	ega
kord	korra
tema	tast
läbi	läbi
jälle	jälle
sörg	`sörkka
läbi	läbi
ja	ja
teine	teise
teine	teisest
teine	teise
jälle	`jälle
ja	ja
nägema	nät
sina	sa
sedasi	sedasi
ja	ja
siis	siss
nii	nii
kaua	kau
kui	kui
sina	sa
saama	said
tema	ta
maha	maha
ja	ja
siis	siss
nägema	nää
enne	ennem
olema	olid
rist	ristid
kinni	`kinni
siduma	`seuttud
olema	pole
kartma	`kartta
olema	olnd
et	et
sealt	seald
enam	enam
segamini	segameste
minema	läheb
siis	siis
hakkama	akkedi
sealt	seald
jälle	`jälle
kui	kui
sina	sa
kangas+teljed	`kanga+`telgede
peal	peal
panema	panid
panema	`pantti
sealt	sealt
raag	traag
sisse	`sisse
ja	ja
siis	siss
jälle	jälle
kits	kitsel
olema	oli
suur	sur
sõlg+lõng	sölg+löng
küljes	`külges
see	sellega
kinni	`kinni
et	et
siis	siis
enam	enam
sealt	sealt
välja	`välja
olema	pole
saama	saand
see	see
rist	rist
tulema	`tulla
see	see
pidama	pidi
rist	ristid
õigesti	`öigeld
pidama	pidama
see	see
olema	oli
jälle	`jälle
kangas	`kangal
kõige	keige
esimene	esimene
raag	raa
küljes	`külges
raag	raa
küljes	küljes
olema	oli
siis	siis
et	et
jälle	`jälle
naa	na
ees	ees
siis	siis
olema	oli
ju	ju
niis	niijette
taga	taga
olema	oli
ka	kaa
ees	ees
olema	oli
niis	niijette
taga	taga
olema	olid
jälle	`jälle
tihv	tihva
piirg	piirud
ja	ja
ees	ees
siis	siis
kui	kui
sina	sa
saama	said
niis	`niide
panema	pannund
ja	ja
suga	suga
panema	pannund
ja	ja
siis	siis
kui	kui
sina	sa
nüüd	nüid
ots	otsad
sinna	`sinna
raag	raa
külge	`külge
kinni	`kinni
siduma	sidusid
siis	siis
siis	siis
hakkama	`akkas
kangas	ka^ngas
tulema	tulema
ikka	ikka
ei	äi
esimene	esimesel
raag	raal
olema	pole
olema	olnd
ei	äi
noh	nohh
see	sellel
jälle	`jälle
mis	miss
võll	völla
pealt	päält
tulema	tuli
tagumine	tagumise
peal	pääl
näh	nähh
kui	kui
sina	sa
kõige	keige
esmalt	esmald
hakkama	`akkast
see	senne
raag	raal
olema	oli
küll	küll
seal	sääl
pidama	pidi
panema	panid
sõlg+lõng	sölg+lö^nga
sealt	seald
risti	ristis
muidu	muidu
olema	oleks
rist	rist
jälle	`jälle
rikki	`rikki
minema	läind
panema	panid
sealt	seald
rist	ristist
sisse	`sisse
ja	ja
siduma	sidust
teine	teise
raag	raa
otsa	otsa
kinni	`kinni
ja	ja
siis	siis
hakkama	`akkast
tema	teda
sealt	sääld
pealt	pääld
lugema	lugema
sihuke	seun
sama	sama
olema	oli
kus	kuss
pii	piide
vahel	vahel
ja	ja
jälle	`jälle
ju	juu
teie	tee
ka	kaa
võib+olla	vöib+`olla
et	t
olema	olette
ise	ise
ka	kaa
kangas	ka^ngast
kangas	ka^ngast
ehitama	ehidand
ega	ega
ütlema	`ütlette
et	et
kuduma	kudund
olema	ole
neh	nehh
kui	kui
see	seda
üles	ülesse
panema	paned
need	nee
ehk	ehk
nii	nii
mitu	mittu
jälle	`jälle
pasmas	`pasma
kui	kui
sina	sull
kangas	ka^ngas
lai	lai
olema	oli
et	et
sina	sa
siis	siis
nii	nii
mitu	mittu
pasmas	`pasma
ka	kaa
jälle	`jälle
sealt	sääld
ka	kaa
saama	said
üks+kõik	üks+keik
panema	panit
sina	sa
siis	siss
pool	poole
pasmas	`pasma
reha	reha
pii	pii
vahele	vahele
või	vöi
panema	panit
sina	sa
jälle	`jälle
rohkem	`rohkem
või	vöi
vähem	vähem
või	vöi
aga	aga
et	et
see	see
siis	siss
seal	sääl
see	see
laius	laijus
välja	välja
tulema	tuli
neh	nehh
ja	ja
siis	siis
hakkama	akkadi
kangas	ka^ngast
kui	kui
sina	sa
saama	said
sinna	`sinna
reha	reha
vahele	vahele
panema	pannund
siis	siss
vedama	vedast
see	senne
raag	`raagale
sinna	`senna
suur	suure
poom	poomi
peale	pääle
panema	panid
sinna	`senna
soon	soone
sisse	`sisse
ja	ja
lõng	lö^ngad
ümber	`ümber
ja	ja
siis	siis
hakkama	akkad
tema	teda
üles	üless
käärima	`käärima
väänama	`väänama
või	vöi
kuidas	kuidas
see	see
pidama	peab
ütlema	`ütlema
kaks	kaks
kolm	kolm
tükk	`tükki
kolm	kolm
tükk	`tükki
pidama	pidi
ikka	`ikka
olema	olema
üks	üks
pidama	pidas
kangas	ka^ngast
ja	ja
üks	üks
vedama	vedas
see	seda
raag	`raaga
sealt	sealt
eest	eest
ära	ära
ja	ja
üks	üks
ajama	aeas
ümber	`ümber
ehk	ehk
kui	kui
sina	sull
veel	veel
olema	oli
tarvis	tarvis
piirg	`piirgu
panema	`panna
et	et
tema	ta
villane	villane
kangas	ka^ngas
olema	oli
et	et
sina	sa
piirg	piirud
sinna	`senna
suur	suure
poom	poomi
peale	`pääle
panema	panid
ka	kaa
siis	siis
olema	oli
sinna	`senna
ka	kaa
veel	vel
inimene	inimene
tarvis	tarvis
siis	siis
kui	kui
pikk	pitk
kui	kui
tema	taa
muidu	muidu
äär	ääred
hakkama	`akkavad
maha	maha
käima	`käima
siis	siss
piirg	piirud
pidama	pidast
tema	teda
jälle	`jälle
kurss	`kurssis
siis	siss
saama	sai
sedasi	sedass
siis	siis
kui	kui
juba	juba
esimene	esimene
ots	ots
kätte	`kätte
tulema	tuli
ajama	aeast
tihv	tihva
piirg	piirud
sisse	`sisse
ja	ja
hakkama	`akkast
niis	`niide
panema	panema
lõikama	`leikkast
ots	otsad
lahti	`lahti
ja	ja
hakkama	`akkast
niis	`niide
panema	panema
see	see
pidama	pidas
jälle	`jälle
rist	risti
esimene	esimese
rist	risti
muidu	muidu
olema	pole
jälle	`jälle
saama	saand
muidu	muidu
tema	ta
olema	pole
kerkima	`kerkkind
muidu	muidu
minema	läks
segamini	segameste
niis	niije
sinna	`sinna
läbi	läbi
ja	ja
kui	kui
sina	sul
olema	oli
toimne	toimne
kangas	ka^ngas
neli	neli
niis	niit
olema	olid
siis	siss
pidama	pidid
siis	siiss
olema	oli
neli	nelja
lõng	lö^ngaga
looma	`loodud
siis	siis
pidama	pidid
aga	ega
jälle	`jälle
loom+kond	`loomgonna
ii	ii
ise	ise
nii	nii
või	vöi
näh	näh
ise	ise
lõng	lö^nga
niis	niije
silm	`silma
panema	panema
ja	ja
hakkama	`akkast
esimene	esimest
panema	panema
minema	läkst
välja	`välja
tulema	tulid
jälle	`jälle
kui	kui
sina	sa
uus	uuwe
võtma	vötsid
hakkama	`akkast
jälle	`jälle
äär	`äärest
nii	nii
kaua	kau
kui	kui
nii	nii
kaua	kau
kui	kui
sedasi	seas
lõpp	löppuni
saama	said
niis	niijettel
olema	olid
pael	paelad
ja	ja
käsi	`kättel
olema	olid
jälle	`jälle
toimne	toimse
niis	niijel
olema	oli
näh	nähh
kaks	kahe
neli	nelja
niis	niijega
olema	olid
kaks	kahed
pael	paelad
teine	teised
teine	teise
otsas	otsas
need	nee
olema	olid
niis	niijette
küljes	`külges
kinni	`kinni
panema	panid
sealt	sealt
jälle	`jälle
kätte	`kätte
kurd	`kurrede
vahelt	vahelt
läbi	läbi
ja	ja
sealt	sealt
kaudu	kauttu
tema	taa
käima	käis
alumine	alumist
tulema	tulid
jälle	`jälle
sõtke+laud	sötke+`lautte
külge	`külge
kui	kui
sina	sa
saama	sait
et	et
sina	sa
kangas	`kanga
saama	said
niis	`niide
suga	suga
saama	saand
siis	siis
käima	käist
siduma	sidust
alt	alt
jälle	`jälle
sõtke+laud	sötke+`lautte
külge	`külge
kinni	`kinni
ja	ja
siis	siis
hakkama	`akkas
see	see
asi	asi
minema	minema
olema	pole
seal	seal
nimi	nime
miski	midagid
olema	olnd
muud+kui	`mut+kui
siduma	`seutti
ei	äi
näh	nähh
seal	sääl
pidama	pidi
rohkem	`rohkem
olema	olema
umb+sõlm	`umb+sölm
ei	äi
aitama	`aitta
mitte	`mitte
näh	nähh
nagu	naagu
niis	niije
pael	paelttel
ikka	`ikka
seal	seal
panema	panid
kaks	kaks
kolm	kolm
kord	`korda
läbi	läbi
ja	ja
sedasi	seasi
alt	alt
ka	kaa
panema	panid
sealt	sealt
sõtke+laud	sötke+lauwa
auk	`aukkust
läbi	läbi
ja	ja
siis	siss
panema	panid
see	senest
pael	paelast
kaks	kaks
kolm	kolm
kord	`korda
sedasi	sedass
vedama	vedast
läbi	läbi
et	et
tema	ta
ikka	`ikka
kinni	`kinni
seisma	`seisis
suga	`soase
panemine	panemine
olema	oli
hüüdma	`üitti
suga	soa
sulane	sulane
üks	üks
pisike	pisin
kõver	köver
kook	kook
olema	oli
sina	sull
pihk	peus
pistma	pistid
pii	pii
vahelt	vahelt
tema	taa
läbi	läbi
lõng	lö^ngad
sinna	`senna
ka	kaa
ja	ja
vedama	vedast
ikka	`ikka
läbi	läbi
ja	ja
ikka	`ikka
läbi	läbi
ja	ja
nii	nii
kaua	kau
kui	kui
kangas	ka^ngas
otsas	`otsas
ja	ja
ei	äi
olema	ole
suga	suga
suga	suga
olema	oli
piirg	`piirgude
peal	pääl
ehk	ehk
olema	oli
tema	taa
siis	siis
miski	`miski
asi	asja
peal	pääl
sina	sull
seal	sääl
lapiti	lappitti
ees	ees
ja	ja
kui	kui
tema	taa
siis	siis
tuba	toas
olema	oli
ja	ja
siis	siss
tooma	töid
kloov	kloovad
ja	ja
panema	panid
sinna	`senna
vahele	vahele
ja	ja
need	need
kus	kuss
suga	suga
vahel	vahel
sündima	sünnib
kus	kuss
suga	suga
vahel	vahel
olema	oli
ja	ja
kes	kellega
sina	sa
siis	siss
see	seda
seal	seal
kõpsima	`köpsist
jah	jahh
kangas	ka^ngas
üleval	üleval
ja	ja
muu	muud
miski	midagid
ja	ja
hakkama	`akka
kuduma	kuduma
mis	miss
seal	seal
muu	muud
nii	nii
palju	`palju
pidama	pidid
see	selle
päev	päeva
kui	kui
sina	sa
kangas	`kanga
üles	üless
panema	panid
vana+rahvas	vana+rahval
olema	oli
see	see
kunst	kunts
nii	nii
palju	`palju
pidama	pidid
kuduma	kuduma
et	et
esimene	esimene
ots	ots
kärr	kärrale
saama	sai
et	et
kui	kui
olema	pole
saama	saand
et	et
siis	siis
minema	lähed
et	et
tema	teda
küll	küll
olema	pole
tegema	tehtud
ega	ega
see	see
nalja+jutt	nalja+jutt
olema	oli
seda+moodi	seda+`moodi
näh	nähh
kui	kui
sina	sa
pii	pii
vahe	vahed
sisse	`sisse
jätma	jätsid
siis	siis
ei	äi
mitte	mitte
kangas	`kangal
olema	olid
siis	siis
kui	kui
sina	sa
esimene	esimest
kuduma	kuded
et	et
sina	sa
silm	silmad
pähe	pähe
saama	saad
see	sest
mina	ma
ei	i
teadma	tää
see	sest
mitte	`mette
kuulma	kuulund
siis	siss
siis	siss
see	see
olema	oli
kangas+lahk	ka^ngas+lahk
siis	siis
olema	oli
siis	siis
olema	oli
päär+haak	`päärakkid
peal	peal
puu	puust
olema	olid
jah	jahh
minev	minev
aasta	`aasta
viima	viisid
meie	meild
ära	ää
veel	veel
mina	maa
ei	äi
teadma	tää
meie	meil
ei	ei
olema	ole
enam	änam
näitama	näidaks
sina	sull
küll	küll
ei	äi
küll	küll
võima	vöib
teine	teise
näh	nähh
need	nendel
olema	olid
kumb+gi	kummagi
otsas	otsas
olema	olid
pisike	pisist
pisike	pisist
raud+näsa	raud+näsad
olema	olid
neh	nehh
et	et
sina	sa
nüüd	nüid
sealt	seald
kangas	`kanga
äär	ääre
sisse	`sisse
panema	panid
ja	ja
siis	siss
muljuma	`muljust
nemad	nad
maha	maha
seal	seal
olema	oli
üks	üks
lõng	löng
olema	oli
jälle	`jälle
suur	sur
hammas	`ambad
olema	olid
see	selle
lõng	lö^nga
taga	taga
kui	kui
sina	sa
pikk	pikkemaks
tahtma	tahtsid
panema	`panna
või	vöi
lühike	lühemaks
või	vöi
ja	ja
siis	siss
olema	olid
jälle	jälle
pöör	pöörad
seal	seal
peal	peal
panema	panid
need	need
pöör	pöörad
kinni	`kinni
ja	ja
et	et
tema	ta
siis	siss
seisma	`seisma
jääma	jähi
ja	ja
hakkama	akka
kuduma	kuduma
ja	ja
kui	kui
siis	siss
see	senne
jagu	jao
olema	olid
ära	ära
kuduma	kudund
siis	siis
pidama	pidid
laskma	`laskma
jälle	`jälle
kangas	ka^ngast
edasi	edasi
ja	ja
siis	siss
need	neid
jälle	`jälle
ka	kaa
tõstma	`töstma
see	senn
peal	pääl
edasi	edasi
ei	äi
noh	nohh
sina	saa
pidama	pidid
enne	`enne
lahti	`lahti
laskma	`lasma
kangas	`kanga
või	vöi
näh	nähh
pealt	päält
lahti	`lahti
laskma	`lasma
enne	enne
näh	nähh
sina	saa
pidama	pidid
ikka	`ikka
nii	nii
palju	`palju
et	et
sina	sa
saama	said
kloov	kloovad
jälle	`jälle
jälle	`jälle
lasi+puu	lasi+puu
kätte	`kätte
seal	sääl
lasi+puu	lasi+puul
olema	oli
ikka	ikka
nöör	nöör
see	senne
saama	said
ikka	ikka
muidu	muidu
ka	kaa
ja	ja
nüüd	nüid
uus	uuwemal
aeg	aeal
olema	olid
naa	naa
hea	paremad
mood	`moodis
et	et
see	see
olema	oli
sina	suu
ligidal	ligidal
see	see
puu	puu
kes	kellega
sina	saa
seal	seal
tagumine	tagumise
link	lingi
üles	üless
kergitama	kergidast
et	et
sina	sa
saama	said
oma	omal
laskma+ki	lastagi
nii	nii
palju	`palju
kui	kui
sina	sa
tahtma	`tahtsid
teadma	tää
mina	maa
see	sest
nimi	nimest
see	see
olema	oli
see	see
nimi	nimi
et	et
sina	sull
olema	pole
siis	siis
enam	enam
ruum	`ruumi
kuduma	kududa
olema	olnd
siis	siis
pidama	pidid
uus	uuwe
võtma	`vötma
pidama	pidid
laskma	`lasma
sina	saa
olema	pole
enam	änam
jälle	`jälle
süstik	süstigud
vahele	vahele
saama	saand
sina	saa
pidama	pidid
edasi	edasi
laskma	`lasma
ja	ja
kärr	kärra
peal	peal
jälle	jälle
kangelt	`kangel
väänama	`väänama
et	et
sina	sa
sihuke	seun
suur	suur
võll	völl
olema	oli
ja	ja
seal	sääl
olema	olid
jälle	`jälle
suur	sur
pea	pää
olema	oli
suur	sur
sarv	sarved
olema	olid
peas	pääs
meie	meil
seal	sääl
sarv	`sarvtest
hakkama	`akkast
kinni	`kinni
tirima	tirid
kangelt	`kangel
ja	ja
hakkama	akka
jälle	`jälle
noh	nohh
see	see
olema	oli
nüüd	nüid
sedasi	sedass
kuidas	kuidas
inimene	inimene
mõni	möni
mõni	möni
kuduma	kudus
tema	teda
hulga	`ulkka
ja	ja
teine	teine
kuduma	kudus
teine	teine
kuduma	kudus
vähe	vähe
ja	ja
sedasi	sedass
kuidas	kuidas
nüüd	nüid
nobe	nobe
olema	olid
see	seda
ei	ei
saama	saa
ütlema	üttelda
et	et
sina	saa
kuduma	kudust
nii	nii
palju	`palju
ja	ja
mina	maa
kuduma	kudusi
nii	nii
vähe	vähe
sedasi	sedas
kuidas	kuidas
jõudma	jöutsid
ja	ja
kuidas	kuidas
nagu	naagu
inimene	inimene
olema	oli
olema	olid
sina	sa
üksik	üksik
inimene	inimene
olema	oli
sina	sull
oma	oma
toimetamine	toimedamist
ka	kaa
sina	saa
kord	korra
käima	käist
seal	seal
sees	sees
ja	ja
ja	ja
laps	lapsed
ja	ja
kõik	keik
käima	käist
seal	seal
sees	sees
ja	ja
iga	ega
moodi	`muudi
olema	oli
see	see
asi	asi
olema	oli
ise	`endal
ja	ja
olema	oli
siis	siss
tooma	`toodi
küla	külast
ja	ja
tooma	`toodi
vahel	vahest
naabri+pere	`naabri+perest
ka	kaa
ja	ja
kuidas	kuida
mis	miss
selts	`seltsi
kangas	ka^ngas
tool	tool
olema	oli
sedasi	sedasi
et	t
ega	ega
üks	üks
suga	suga
olema	pole
aitama	`aittand
seal	seal
pidama	pidi
üheksa	üheksa
suga	suga
olema	olema
sihuke	seust
kangas	ka^ngast
kui	kui
sina	sa
tegema	tegid
toimne	toimpsel
olema	oli
oma	oma
suga	suga
labane	labasel
olema	oli
oma	oma
suga	suga
ja	ja
kuidas	kuidas
sina	sull
peenus	peenedus
ja	ja
jämedus	jämeduse
lõng	lö^ngad
ja	ja
e	e
iga	ega
sort	sordil
olema	oli
oma	oma
teadus	`täädus
näh	nähh
nii	nii
mitu	müttu
pasmas	pasm
kui	kui
sina	sool
jälle	`jälle
kangas	ka^ngas
lai	lai
olema	oli
nii	nii
mitu	`mitme
pasmane	pasmas
suga	soa
pidama	pidid
ka	kaa
muretsema	muretsema
oma	omal
suga	suga
võima	vöis
nüüd	nüit
jälle	`jälle
pikk	pikkem
ka	kaa
olema	`olla
ka	kaa
olema	`olla
tühi	tühjaks
küll	küll
ka	kaa
jääma	`jääda
olema	oli
sina	sull
pisike	pisine
käte+rätik	kätte+rättik
kangas	ka^ngas
viis	viis
kuus	kuus
pasmas	`pasma
ja	ja
suga	soad
olema	olid
tühi	tühjad
puha	puhas
pikk	pitk
suga	suga
olema	oli
suga	soa
mis	miss
see	se
olema	onn
suga	soa
pasmas	`pasmad
ei	äij
olema	ole
need	need
et	et
nüüd	nüid
lõng	lö^nga
pasmas	pasmas
suga	soal
olema	onn
kolm+kümmend	kolm+gümmend
pii	pii
vahe	vahet
pasmas	`pasmas
ja	ja
lõng	lö^ngal
olema	onn
kuus+kümmend	kuus+kümmend
näh	nähh
sina	sull
tulema	tuli
ju	ju
kaks	kaks
lõng	`lönga
üks	ühe
pii	pii
vahel	vahel
ja	ja
kui	kui
sina	sull
jälle	`jälle
sihuke	`seune
kangas	ka^ngas
olema	oli
et	et
sina	sa
tegema	tegid
teine	teise
pii	pii
vahel	vahel
olema	oli
kaks	kaks
ja	ja
teine	teise
pii	pii
vahel	vahel
olema	oli
üks	üks
ütlema	`ööldi
pool+labane	pool+labane
ja	ja
täis+labane	täis+labane
olema	oli
jälle	`jälle
ka	kaa
sedasi	sedasi
kaks	kaks
lõng	`lönga
olema	oli
üks	ühe
pii	pii
vahel	vahel
näh	nähh
aga	aga
kaks	kaks
kaks	kaks
niis	niit
olema	oli
jälle	`jälle
ikka	`ikka
toimne	`toimpsel
olema	oli
neli	neli
niis	niit
näh	nähh
see	seda
kah	kah
kuduma	kudunud
meie	me
ei	i
ei	ei
teadma+ki	`teagid
nüüd	nüid
küit	küidu
kangas	ka^ngast
kuduma	kueutti
küll	küll
ka	kaa
kuduma	kueudi
mitu	`metme
lõng	lö^ngast
see	see
kus	kuss
küit	küit
olema	onn
see	see
paistma	paistab
välja	välja
küll	küll
missugune	misune
tema	ta
kuduma	kueut
olema	onn
see	seda
võima	vöiks
näitama	`näitta
ka	kaa
missugune	misune
küit	küit
olema+ki	`ongid
minema	mine
tooma	too
kapp	`kappist
ära	ää
mina	münul
olema	onn
kapp	`kappis
ei	äi
olema	ole
linane	linune
lõim	löime
olema	oli
ikka	`ikka
ikka	`ikka
ikka	`ikka
kus	kuss
see	sell
aeg	aeal
kui	kui
küit	`küittu
tegema	`tehti
kus	kuss
sina	sa
pood	poe
nüüd	nüid
ometi	ometti
kleit	kleidi
kangas	ka^ngast
tegema	tehti
nüüd	nüid
juba	juba
kes	kess
laskma	laseb
oma	omal
veel	vell
jälle	`jälle
küit	küidu
kuduma	kududa
saama	saab
pood	`poodist
jälle	`jälle
lõim	löimet
aga	aga
aga	aga
see	sell
aeg	aeal
olema	pole
saama	saand
mitte	`mitte
mina	mina
olema	olen
veel	veel
nii	nii
mina	mina
kuduma	kudusin
veel	veel
ise	ise
oma	omal
küit	küidu
et	et
mina	mull
et	et
see	se
küll	küll
olema	pole
nüüd	nüid
mina	mull
enam	enam
alles	alles
aga	aga
see	see
küit	küit
mis	miss
mina	mull
alles	alles
olema	onn
see	see
olema	onn
meie	mei
vana+ema	vana+ema
küit	küit
see	seda
mina	ma
olema	ole
hoidma	oidnend
mälestus	mälestuseks
küit	küit
olema	oli
ikka	`ikka
alt	alt
neli	neli
küünar	küinart
lai	lai
tema	taal
olema	oli
kurdus	`kurdus
noh	nohh
need	need
panema	`pandi
seda+moodi	seda+modi
hakkama	akkadi
sedasi	sedasi
panema	panema
hakkama	`akkast
tema	teda
siis	siis
sedasi	seass
teie	tei
olema	olette
ju	ju
need	neid
laulu+pidu	laulu+pidudel
küll	küll
nägema	näind
no	noo
ee	ee
teie	tei
olema	olette
laulu+pidu	laulu+pidul
küll	küll
käima	käind
suur	suure
maa	maal
olema	onn
oma	omad
vana	vanas
aeg	`aegas
riie	`riided
ja	ja
ütlema	`ütleme
suur	suure
vald	`valdas
olema	onn
ise	ise
värv	värvid
need	need
olema	onn
Käina	Käina
Käina	Käina
küit	küit
need	nee
olema	onn
Käina	Käina
küit	küit
ja	ja
kõplane	`köplastel
olema	onn
oma	oma
küit	küit
iga	ega
vald	vallal
olema	onn
oma	oma
oma+moodi	oma+`moodi
punane	punane
ja	ja
roheline	roheline
ja	ja
mis	miss
siin	sii
sees	sees
olema	onn
siin	sii
valge	valged
olema	onn
ka	kaa
ja	ja
pruun	pruun
olema	onn
siin	sii
vahel	vahel
trips	trips
no	noo
kus	kuss
see	seda
värv	`värvi
see	sell
aeg	aal
saama	`saadi
see	seda
mina	mina
teadma	tää
mitte	`mitte
ju	juu
see	see
nüüd	nüid
see	sell
aeg	aal
juba	juba
see	see
meie	mei
ema	ema
küit	küit
ju	joo
see	see
see	sell
aeg	aeal
juba	juba
värv	`värvisi
saama	`saada
olema	oli
ka	kaa
aga	aga
siis	siss
kus	kuss
veel	veel
vana	vanemad
kus	kuss
need	neid
saama	`saadi
see	seda
mina	ma
ei	i
teadma	tea
küit	küit
küit	küidu
alus	alus
see	see
olema	onn
küit	küidu
ööder	`ööder
küit	küidu
ööder	`ööder
ööder	`ööder
see	see
mis	miss
tema	ta
see	see
selga	`selga
käima	käis
vat	vat
see	see
veere	veere
mis	miss
siin	sii
vahel	vahel
olema	onn
need	nee
kurd	kurrud
olema	onn
see	sellega
kinni	`kinni
näh	nähh
küit	küidu
ööder	`ööder
ei	äi
see	see
olema	oli
jälle	`jälle
käis	`käised
olema	olid
ehk	ähk
see	sell
aeg	aal
kui	kui
vana	vanamad
inimene	inimest
olema	oli
ja	ja
nüüd	nüid
viimaks	`viimaks
viimati	viimatte
käima	käidi
pluus	pluusedek
ka	kaa
juba	juba
eks	eks
noor	nooremad
aeg	aeg
juba	juba
olema	oli
ja	ja
aga	aga
käis	`käised
olema	olid
vana	vanast
aeg	aeast
need	nee
olema	olid
üsna	üsna
vana	vanast
pea	peast
olema	olid
toimne	toimpse
riie	`riidest
ja	ja
valge	`valged
ikka	`ikka
ja	ja
nüüd	nüid
olema	onn
nemad	naad
jälle	`jälle
valge	`valge
riie	`riidest
ja	ja
suur	sur
kurdus	`kurdus
mina	mull
käis	`käised
olema	onn
või	vöi
noh	nohh
meie	mei
ema	emal
käis	`käised
olema	olid
ka	kaa
need	nee
olema	pole
siin	sii
need	nee
Meirabi	Meirabi
juures	juures
seal	seal
