trampima	`tramppist
tema	ta
ais	`aisa
pidi	pidi
panema	panid
suur	surd
pikk	pikkad
ais	aisad
ja	ja
jälle	`jälle
seal	seal
härg	`ärgade
külg	`külgest
läbi	läbi
sedasi	sedasi
härg	ärjad
olema	olid
ais	`aisade
vahel	vahel
ja	ja
seda+moodi	seda+moodi
siis	siis
panema	`pantti
sarv	`sarvede
ümber	`ümber
panema	`pantti
seune	seust
rihm	röhmad
seune	seus
nahk+rihm	nahk+röhmad
olema	oli
see	nee
olema	olid
tugevasti	tugevasti
kinni	`kinni
a	a
nemad	nee
olema	olid
nii	nii
ilusti	ilusti
kõrvuti	körvutti
ja	ja
kündma	küntsid
käima	käist
kõrvuti	körvutti
nemad	naad
olema	olid
viluma	vilund
juba	juba
ohi	`ohjad
olema	olid
peal	pääl
ja	ja
nagu	nägu
hobune	obust
mis	miss
ä	ä
ei	äi
mina	maa
ei	eij
olema	ole
kündma	künnud
aga	a
mina	minu
isa	isa
kündma	`kündis
mina	ma
nägema	nägin
kui	kui
tema	ta
kündma	`kündis
mina	maa
olema	oli
siis	siis
nii	nii
väike	`väikke
veel	veel
mina	maa
kui	kui
tema	ta
härg	`ärgadega
kündma	`kündis
mina	mu
isa	isa
kündma	`kündis
ei	äi
olema	jole
üsna	üsna
üksi	`üksi
härg	ärjad
võtma	vötsid
partsti	partsti
partsti	partsti
partsti	partsti
partsti	partsti
nii	nii
ilusti	ilust
et	et
nemad	naad
olema	olid
viluma	vilund
juba	juba
e	e
käima	käis
ilusti	ilusti
vagu	vagu
ohi	`ohjad
olema	olid
peal	pääl
ja	ja
jah	jahh
e	e
siis	siis
hüüdma	`üitti
peale	`pääle
kui	kui
olema	pole
ära	ära
nd	nd
aga	aga
hästi	`easte
käima	käis
ilusti	iluste
käima	käis
iga	iga
taga	taga
siis	siis
olema	poleks
kündma	`künda
saama	saand
kui	kui
tema	ta
hullusti	ullusti
käima	käib
et	et
tema	ta
aga	aga
vinka+võnka	vinkka+vönkka
tegema	teeb
vagu	`vaoga
kohe	kohe
ilus	ilus
õige	`öige
vagu	vagu
olema	oli
nõnda	nönda
et	et
ei	äi
miski	midad
keerama	`keeras
ümber	`ümber
ka	kaa
ja	ja
ei	äi
neh	nehh
ikka	ikke
ikka	ikke
ise	ise
keerama	`keeras
ohjas	ohjastega
ohjas	ohjastega
tõmbama	tömmedi
teine	teist
ja	ja
teine	teine
minema	läks
järel	järel
ka	kaa
teine	teine
olema	oli
ka	kaa
viltu	`vilttu
järel	järel
jaa	jaa
aga	aga
tema	ta
nii	nii
hea	ea
olema	pole
küll	küll
olema	elnd
et	et
kui	kui
hobune	obu
olema	oli
aga	aga
aga	aga
tema	taaga
tegema	`tehti
ka	ka
natune	nattune
töö	tööd
ka	kaa
selle+pärast	selle+pärast
et	et
tema	taa
saama	sai
halvem	`alvemaid
asi	`asju
kui	kui
hobune	obu
hobune	obu
tahtma	`tahtis
hein	`einu
saama	`saada
aga	aga
härg	ärg
saama	sai
õlg	`ölgi
ka	kaa
see	seda
rehi	rähe
õlg	`ölgi
mis	miss
rabama	rabadi
neh	neh
see	ne
see	nee
õlg	öljed
mis	miss
see	nee
loom	loomad
sööma	söid
kõik	keik
jälle	jälle
ära	ära
seda+moodi	seda+modi
olema	oli
a	a
jah	jahh
kas	kass
seune	`seune
pea	pea
ahh	ahh
habe	abe
ei	äi
mina	maa
olema	pole
see	seda
seune	`seune
sama	sama
ader	ader
olema	oli
kui	kui
hobune	obuse
järel	järel
seune	`seune
olema	oli
härg	ärja
järel	järel
ka	kaa
jaa	jaa
ikka	`ikka
olema	oli
nimi	nimi
muidu	muidu
tema	ta
olema	pole
e	e
aru	aru
saama	saand
kui	kui
tema	teda
hüüdma	`üitti
ei	äi
mina	minul
meel	`meeles
olema	pole
mitte	mette
nägema	nä
Robisson	Robisson
küsima	küsiks
teie	tee
mis	miss
asi	asi
see	see
nüüd	nüid
olema	onn
nägema	näe
teine	teine
olema	oli
Väits	Väits
ja	ja
Robisson	Robisson
ja	ja
härg	ärjad
ikka	`ikka
kuulama	kuulist
sõna	söna
ka	kaa
nemad	naad
olema	olid
viluma	vilund
jah	jahh
muidu	muidu
ei	äi
tegema	tee
jah	jahh
hobune	obusega
mina	maa
kündma	`küntsi
küll	küll
kõik+sugune	keik+sugust
töö	tööd
tegema	tegin
hobune	obusega
ära	ära
kui	kui
mina	ma
suurem	suuremaks
saama	sain
sõnnik	sönigut
laotama	laotsin
ja	ja
põld	`pöldus
siis	siis
olema	olin
veel	veel
noor	noor
kui	kui
mina	ma
sõnnik	sönigut
laotama	laotsi
kui	kui
mina	ma
siis	siis
olema	oli
juba	juba
vana	vana
kui	kui
mina	ma
kaks+kümmend	kahe+kümne
kuus	kuuwe
seitse+teist	seitsme+teistme
aastane	`aastane
siis	siis
kündma	`küntsin
juba	juba
põld	`pöldu
jah	jaahh
hobune	`oostega
aga	aga
mitte	`mitte
härg	`ärgadega
mina	maa
ei	ei
olema	jole
kündma	künnud
isa	isa
kündma	`kündis
härg	`ärgadega
hobune	obusega
mina	maa
kündma	küntsi
hõõ	hõõ
jah	jah
nii	nii
kaua	kauwa
kui	kui
nii	nii
kaua	kauwa
ikka	`ikka
tegema	tegin
töö	tööd
kui	kui
olema	olin
seitse	seitse
käima	käisin
kool	`koolis
ja	ja
töö	tööl
nüüd	nüid
ka	kaa
ikka	`ikka
seitse+kümmend+kolm	`seitse+`kümne+kolme
aastane	`aastane
vana	vana
siis	siis
mina	ma
ära	ää
enam	enam
kool	`koolis
ei	äi
olema	ole
minema	läind
seitse+kümmend+kolm	`seitse+kümmend+kolm
jah	jaahh
Selja	Selja
küla	külas
jah	jaahh
mina	maa
elama	elass
seal	sääl
ka	kaa
Laidu	`Laidus
mina	maa
ikka	`ekka
elama	elasi
ka	kaa
üks	üks
kaks+kümmend	kaks+kümmend
aasta	`aastad
mina	mull
üks	üks
poeg	poeg
elama	elab
Laidu	`Laidus
ja	ja
teine	teine
poeg	poeg
olema	onn
seal	seal
Selja	Selja
küla	külas
ja	ja
see	need
veel	veel
vana+mees	vana+mees
tegema	tegi
veel	veel
see	nee
maja	maead
mis	miss
seal	seal
Selja	Selja
küla	külas
see	nee
üsna	üsna
uus	uuwed
veel	veel
mina	maa
olema	oli
seal	sääl
kui	kui
tema	ta
ära	ära
surema	suri
ja	ja
siis	siis
üks	üks
poeg	poeg
tulema	tuli
mina	mu
juurde	`juure
tulema	tuli
sõda	söa
olema	oli
peal	pääl
ja	ja
mina	maa
tulema	tuli
see	senne
juurest	juurest
ära	ää
tulema	tulin
siis	sii
teine	teise
poeg	poea
juurde	`juure
kes	kess
vanem	vanem
olema	oli
siin	sii
suurem	suuremad
ruum	ruumid
ja	ja
ei	äi
olema	jole
ee	ee
jah	jahh
Selja	Selja
küla	külas
olema	oli
maa	maa
seal	seal
sealt	seald
jälle	`jälle
seal	seal
mees	mehe
isa	isa
andma	`andis
natuke	nattuse
maa	maad
kartul	`karduli
maa	maad
see	senne
mina	ma
kündma	küntsin
ikka	`ikka
üksi	`üksi
ära	ära
ja	ja
vana+mees	vana+mees
käima	käis
meri	merel
ja	ja
poeg	`poektega
ja	ja
mina	maa
e	e
tegema	tegi
siis	siis
see	seda
põllu+töö	pöllu+tööd
mina	maa
