ah	ah
ees	een'
ja	ja
ehk	ehk
olema	olgu
taa	ta
õõ	õ
vana+ki	vanagi
no	no
olema	oss
enda	`endit
ära	ärä
õõ	õ
vigastama	vigastanuva
ja	ja
riist	`riistat
lõhkuma	`lahknuva
ja	ja
inimene	inimesi
purustama	puruttanu
ja	ja
et	et
õõ	õ
õõ	õ
seal	säl
olema	om
õkva	`õkva
tee	tii
veer	veere
peal	pääl
jah	jahh
et	et
et	et
et	et
õõ	õ
üks	üttel
ikka	igi
ka	kahh
tark	targemppat
aimamine	`aimamist
es	ess
olema	ole
et	et
see	sedä
meie	me
ei	ei
tohtima	tohi
tegema	`tettä
ei	ei
võima	või
nüüd	nüt
olema	oss
teie	te
vangis	vangin
olema	ollu
ja	ja
siis	ss
kubjas	kubijal
olema	ollu
siis	ss
kõige	kõge
õõ	õ
see	sii
siis	ss
olema	ol'li
ütlema	üttelnu
muidu	muud'u
kui	kui
sina	sa
nemad	neile
kõnelema	kõnelet
oh	oohh
meie	me
olema	oleme
täis	tävvet
meel	`meelt
ega	egä
meie	me
laps	`latset
ei	ei
olema	ole
et	et
meie	me
siis	ss
aru	aru
ei	i
saama	saa
mis	mess
asi	`asja
sina	sa
vahel	vael
kõnelema	kõnelet
et	et
nii	nii
et	et
naa	naa
või	või
et	et
nüüd	nüüt
ei	ei
teie	teil
kurat	kor'attil
es	ess
olema	ole
ka	ka
mitte	`mitte
mitte	mitte
üks	`ütte
taipamine	`taibamist
ka	ka
mitte	`mitte
teie	teil
es	ess
olema	ole
ka	ka
miski	midägi
mõistus	`mõistust
teie	te
olema	otte
kui	ku
õõ	õ
kui	kui
siga	sia
kõrv	kõrva
kurat	kuradi
noh	nohh
ei	ei
miski	midägi
siis	siis
minema	lätsive
iga	egä
üks	üit's
oma	oma
poole	`poole
ütlema	üttel
nägema	näe
et	t
mis	miss
teie	te
olema	oless
nüüd	nüit
teie	te
olema	oless
kõik	kõik
kõik	kõik
kinni	`kinni
viima	`viidu
siis	s
teie	te
olema	oss
ju	jo
nii+sugune	nii+sugutse
kuri	kurja
tegema	tennu
ja	ja
noh	nohh
siis	siss
Andrep	Andrep
olema	ol'li
ise	esi
ütlema	üttelnu
ka	kahh
et	et
olema	om
nüüd	nüt
tema	tedä
mitu	`mitmat
nägema	nännuva
see	sedä
seast	seäst
need	neid
ja	ja
aga	aga
hobune	obest
nägema	näevä
kõik	kõik
terve	terve
mõis	mõis
olema	om
kes	kell
vähe+ki	vähegi
veel	viil
olema	ol'li
jooksma	joosiva
kaema	`kaema
ja	ja
aga	aga
õõ	õ
preili	preilit
et	et
preili	preilit
es	õs
nägema	näe
aga	aga
preili	preili
tegema	teeb
äkki	äkki
hääl	äält
muidu	muidu
olema	oss
olema	ollu
ikka	ikki
nii+sugune	nii+sugutse
pahandus	pahanduse
tegema	tennuva
no	no
taa	ta
saama	saab
siis	ss
õige	`õige
olema	olema
aga	aga
muidu	`muid'u
nägema	nännuva
küll	küll
kui	kui
kes	kes
nii	nii
säärane	särtsel
mm	mm
pool+päev	`puul'ba
õhtu	õdagil
käima	käenuva
või	või
tulema	tulluva
üksikult	`ütsikkult
või	või
hulganisti	ulgandess
küll	küll
ei	ei
olema	ole
nägema	`nännu
et	et
kui	kui
naad	na
laulma	`laulnuva
õõ	õ
laud	lavva
õõ	õ
man	mann
istuma	`istnuva
ja	ja
laulma	`laulnuva
jah	jahh
jälle	jäl'le
vahel	vahel
jälle	jäl'l'le
olema	olluva
kuduma	kudanuva
sukk	`sukka
ja	ja
olema	omm
too	tuu
õh	õh
uks	us's'
valla	`valla
olema	ollu
too	toda
olema	omm
nägema	nännuva
mitu	`mitmat
küll	küll
ega	egä
too	toda
es	ess
olema	ole
üks	üits
üks	üt's
kord	kõrt
poiss	poiss
jälle	jälle
ära	är'ä
väsima	väsinu
tema	tält
ikka	ikki
õõ	õ
ümbrus	`ümbrusest
mõis	`mõisa
ümbrus	`ümbrusest
või	või
olema	ol'l'
apteek	`apteegi
lähemalt	lähemppält
minema	lännu
et	õt
mina	ma
võtma	võtta
apteek	`aptiigist
viis	viije
eest	iist
viin	`viina
ja	ja
et	et
ihu	ihu
olema	om
väga	väega
haige	aige
et	et
täitsa	täidsa
väsima	väsinu
aga	aga
noh	nohh
ega	egä
too	tuu
nii	n
see	sii
minema	läb
liikva	`liikva
minema	lääb
nüüd	nüd
ruttu	`ruttu
pea	pääst
ära	ärä
minema	läb
jääma	jäänu
sinna	sinna
mõtlema	mõttelnu
aga	aga
seal	sääl
olema	omm
üks	üss
trepp	trep'p'
kust	kost
üles	üless
tall	talli
ja	ja
see	selle
peale	pääle
viima	viijass
hein	`aenad
ee	e
sealt	sält
ajama	aettass
luuk	luugist
maha	maha
siis	ss
hobune	obestele
ja	ja
ja	ja
kari	karjale
too	tolle
trepp	treppi
all	all
olema	oleme
küll	küll
vihm	vihma
vari	varjun
olema	ollu
ja	ja
jah	jahh
nüüd	nüüd
mõtlema	mõttelnu
et	õt
kui	ku
mina	ma
siia	siijä
istuma	istun
siin	siin
olema	omm
pudenema	pudenu
põhk	`põhku
ja	ja
kõik	kõikki
agan	aganat
ja	ja
prügi	prügi
ja	ja
puru	puru
kui	ku
mina	ma
sinna	sinna
õõ	õõ
istuma	istun
olema	ollu
väga	`väega
väsima	`vässinu
et	et
et	et
siis	siss
mina	ma
jääma	jää
magama	magama
õõ	õ
püha+päev	pühäbä
hommik	ommukku
õõ	õ
inimene	inimese
minema	läevä
kirik	`kir'kkude
taa	ta
olema	omm
õkva	õkva
suur	suure
tee	ti
veer	veere
peal	pääl
et	et
siis	siss
olema	omm
inetu	inettu
arvama	arvattasse
et	õt
mina	ma
olema	ole
täis	täiss
jooma	joonu
ja	ja
nüüd	nüüd
olema	ole
siin	siin
et	et
mina	ma
istuma	istu
sinna	sinna
preili	preilide
lävi	läve
peale	`pääle
panema	pannu
selg	säl'lä
sinna	sinna
tulp	`tulppa
vastu	vasta
ja	ja
et	et
suikuma	suigun
et	et
siis	siss
minema	lääb
nagu	nigu
see	sii
üle	üle
see	sii
õõ	õõ
ajama	aa
väsimus	väsimuss
mina	mull
et	et
ega	egä
mina	ma
siis	siss
magama	magama
ei	i
jääma	jää
aga	aga
istuma	`is'tnu
sinna	sinna
ja	ja
et	et
taa	ta
suikuma	suigub
olema	ol'li
jääma	jäänu
magama	magama
ja	ja
ei	ei
olema	ole
miski	midägi
kuulma	`kuulu
noh	nohh
sinna	sinna
siis	sis
seal	säl
tulema	tuli
tee	tii
peal	pääl
nagu	nigu
nagu	nigu
õõ	õ
üks	üits
mägi	mäe
rinnak	rinnak
kus	koss
õõ	õ
nüüd	nüüd
kui	kui
olema	omm
tegema	`tettu
mm	mm
sinna	sinna
õõ	õ
et	t
jääma	jäenuva
kõik	kõik
suur	suured
kivi	kivit
jah	jah
ja	ja
õõ	õ
siis	s
too	tuu
rinnak	rinnak
olema	on
nagu	nigu
äkiline	`äkkiline
kust	kost
sealt	säält
minema	lähep
alla	alla
taa	ta
kõrge	`kõrge
ei	ei
olema	ole
aga	aga
õõ	õ
madal	mattal
jah	jahh
ja	ja
nüüd	nüit
tulema	tullu
tall	talli
poiss	poiss
hommik	ommukku
kell	kell
neli	neli
hobune	obessit
talitama	tal'ttama
ja	ja
vahtima	`vahtnu
juba	juba
kaugelt	kavvest
tohoo	tohoo
kuri	kuri
vaim	vaim
kas	kass
mõni	mõni
hobune	obese
varas	varas
seal	sääl
ja	ja
ei	ei
olema	ole
julgema	julenu
ka	ka
minema	`minnä
kaema	`kaenu
ikka	ikki
tasa	`tassa
ikka	ikki
minema	ljännu
kord	kõr't
kord	kõrralt
ikka	ikki
lähemale	lähemppälle
tasakesi	tassakkesti
tundma	`tundnu
ära	är'ä
et	et
sealt	sält
oma	oma
ümbrus	`ümbrusest
tuttav	tutva
poiss	poiss
ja	ja
minema	lännu
manu	manu
ütlema	üttelnu
no	no
mis	mess
sina	sä
siia	`siijä
olema	led
tulema	tuled
õõ	õ
tulema	tullu
magama	magama
mis	mes
sina	sä
siin	siin
magama	makkat
too	tuu
õõ	õ
virguma	`vir'genu
üles	üless
ütlema	üttel
ega	egä
mina	mina
siia	siijä
ei	ei
olema	ole
tulema	tullu
magama	magama
et	et
mina	mina
istuma	`iste
sinna	sinna
preili	preilide
lävi	läve
peale	pääle
et	et
mina	ma
olema	ol'li
väga	`väegä
väsima	varsinu
ihu	ihu
olema	ol'li
haige	`aige
ja	ja
et	et
õõ	õ
siis	siss
õõ	õ
mina	ma
õh	õhh
kui	ku
mina	ma
nüüd	nüüt
siin	siin
veidi+ke	veidikke
suikuma	`suigu
ja	ja
siis	s
mina	ma
minema	läe
kodu	kodu
et	et
Moona	Moona
küla	`külla
mina	ma
ka	ka
ei	i
tahtma	taha
minema	minnä
jah	jah
jah	jahh
ütlema	üttel
aga	aga
nägema	näe
et	et
sinna	sinna
ilusti	iluste
õõ	õ
tall	talli
õõ	õ
lävi	läve
kõrvale	kõrvale
panema	panttu
sinna	sinna
ja	ja
hh	hh
ilusti	ilusta
magama	makkap
seal	sääl
noh	nohh
sinna	sinna
olema	ol'li
sõnnik	sõnnikkut
ka	kah
välja	väl'lä
õõ	õ
ajama	aettu
ja	ja
ja	ja
ei	eb
miski	midägi
magama	makkap
tulema	tulep
üles	üless
ja	ja
siis	s
olema	ol'li
ise	esi
ka	ka
kõnelema	kõnelnu
olema	ol'li
ütlema	üttelnu
olema	oless
mina	ma
nüüd	nd
vast	vast
unine	`unitsest
pea	pääst
või	vei
kuidagi	kudagi
tulema	tullu
siis	siss
mina	ma
olema	olõss
tulema	tullu
see	sellest
õõ	õ
kingu+ke	kenguksest
alla	alla
ja	j
kivi	kivedele
selg	`sel'gä
minema	ljännu
siis	s
mina	ma
olema	oless
üles	üless
virguma	`vir'genu
aga	aga
õõ	õ
mina	ma
too	toda
es	ss
saama	sa
tegema	`tettä
aga	aga
nägema	näed
preili	preilid
olema	omm
viima	`viinu
ja	ja
es	ess
teadma	tiijä
miski	midägi
magama	`makka
nagu	nigu
üks	üit's
minema	ljännu
siis	siss
kodu	kodu
ka	kahh
kõnelema	kõnelnu
kodu	kodu
nii	nii
samuti	sammatti
jälle	`jäl'le
ära	ärä
jah	jah
et	et
see	sedä
viisi	`vissi
olema	`ol'li
ja	ja
teine	tõese
ütlema	üttelnu
kus	koss
sina	sa
see	selle
öö	üö
olema	olid
Moona	Moona
küla	külän
või	või
olema	ol'li
ütlema	ütlennu
es	ess
olema	ole
ja	ja
et	et
sedasi	sedäsi
mina	ma
preili	preili
lävi	ljävede
peale	`pääle
istuma	`isten
ja	ja
panema	panni
selg	säl'lä
sinna	sinna
tulp	tulppa
vastu	vasta
et	et
mina	ma
veidi+ke	veidikke
suikuma	`suigun
just	jus
suikumine	`suikmise
jaoks	jaos
et	et
siis	siss
mina	ma
kui	gu
mina	ma
magama	magama
heitma	eidan
mina	ma
ei	ei
virguma	`vir'gu
üles	üless
noh	nohh
ja	ja
olema	oli
jääma	jäänu
õõ	õõ
ja	ja
es	ess
saama	saa
õõ	õ
miski	mittägi
ei	õi
saama	sa
suikuma	suikku
ja	ja
es	ess
teadma	tiijä
ka	ka
miski	midägi
olema	ol'li
tall	tal'li
lävi	läve
kõrvale	kõrvale
panema	panttu
ilusti	iluste
saun	saena
veer	`viire
sinna	sinnä
räästas	`rästa
veer	veere
alla	`alla
ja	ja
ja	ja
magama	magass
seni	seeni
kui	kui
tall	tal'li
poiss	poiss
tulema	tulli
ja	ja
üles	üless
ajama	ai
siis	sis
siis	siss
nägema	näi
et	et
mina	ma
seal	sääl
olema	ol'li
aga	aga
ise	esi
minema	minnä
mina	mina
kuidagi	kudagi
ei	ei
olema	os
saama	`saanu
et	et
mina	ma
vast	vast
unine	unitsest
pea	`pääst
olema	oss
minema	lännu
ja	ja
mis	mess
mina	ma
sinna	sinna
olema	olõss
minema	l'ännu
ega	õga
seal	sääl
ikka	ikki
parem	parembat
ei	ei
olema	oss
olema	ollu
ennem	enemp
mina	ma
olema	os
siis	sis
sealt	siält
trepp	treppi
alla	alla
minema	l'ännu
aga	aga
seal	sääl
nii	nii
juhtuma	`johtenu
mitu	`mitmat
mitu	`mitmat
õõ	õõ
õõ	õõ
õõ	õõ
tükk	tükkit
ikka	ikki
jah	jah
no	no
nüüd	nüüt
olema	ol'li
seal	sääl
küla	külän
olema	ollu
õh	õh
talu	talu
tütar	dütrel
pulm	pulmat
ja	ja
tulek	tulekkil
sügisene	sügisene
aeg	aig
kibe	kibe
aeg	aig
ei	ei
olema	ole
keegi	`kiägi
saama	`saanu
siis	ss
aeg	aiga
minema	minnä
veski	`veskele
tegema	tettu
siis	siss
rüga	rüä
püüdel	`püidlit
ja	ja
nisu	nisu
püüdel	`püidlit
ja	ja
noh	nohh
saun	sanna
mees	mehel
vana	vana
mees	miiss
ka	kahh
ju	ju
kaheksa+kümmend	`katsa+gümne
aastane	`aastane
ja	ja
ja	ja
õh	õhh
naine	naine
ka	kahh
nii	nii
sama	sama
vana	vana
oh	ohh
vana	vana
mees	mehel
üks	üit's
kõik	kõik
et	et
laskma	lass
taa	ta
minema	lähep
ja	ja
et	et
õõ	õ
õõ	õ
õõ	õ
siis	siss
tegema	tiib
ära	ärä
veskik	`veskel
minema	l'ännu
sinna	sinna
ja	ja
ütlema	ütlep
kodu	kodost
minema	minnä
olema	ol'li
ilus	iluss
no	no
muidugi	muid'ukki
noh	noh
tekk	tekkit
või	või
sääne	`sääntse
nahk	nahk
tekk	tekki
mis	mess
panema	pantti
peale	`pääle
õõ	õ
et	et
tulema	tulep
vihm	`vihma
sadama	sattap
lige	likkess
õõ	õ
kott	kottid
peale	`pääle
panema	panttu
ja	ja
aga	aga
saama	`saanu
sinna	sinna
nood	nontte
preili	preili
lävi	lävede
kohale	kottale
tulema	tullu
vihm	vihma
pilv	pilve
rank	rank
siis	siss
tema	tat
siis	ss
kas	kas
sadama	sadanu
nii	nii
kangesti	`kangette
nagu	nigu
hernes	`er'nid
maha	maha
nagu	nigu
uba	ua
vars	varrest
jälle	jälle
ja	ja
jääma	`jäänu
sinna	sinnä
et	t
mina	ma
minema	`minnä
ei	ei
saama	saa
mina	ma
minema	läe
sadama	satta
lige	`likkess
et	et
mina	ma
minema	läe
sinna	sinna
trepp	treppi
alla	alla
vari	`var'ju
hobune	obesse
jätma	jätnu
tee	tii
peale	päle
ja	ja
ja	jaq
olema	ollu
seal	sääl
siis	siss
vari	varjun
aga	aga
jääma	jäänu
ka	ka
magama	makkama
ütlema	ütleb
mina	ma
istuma	`iste
sinna	sinna
vagavusi	vakkavusi
ja	ja
vana	vana
inimene	inime
ja	ja
magama	maganu
virguma	`vir'genu
üles	üless
vihm	vihma
sadu	sadu
minema	lännu
üle	üle
siis	ss
ilm	ilm
olema	ollu
ilus	ilus
ei	ei
olema+ki	olegi
kott	`kot'te
vanker	`van'kren
mis	mess
nüüd	nüüd
tegema	`tettä
vana	vana
inimene	inime
itkema	`iknu
ja	ja
panema	pannu
käsi	käegi
kokku	`kokku
ja	ja
paluma	pal'lelnu
jumal	jumalat
et	et
mis	mess
nüüd	nüid
kui	kui
mina	ma
minema	läe
kodu	kottu
kõnelema	kõnele
kes	kes
see	seda
uskuma	usub
aga	aga
kott	kotti
ära	ära
varastama	varastedu
olema	omm
ja	ja
mina	ma
es	ess
kuulma	`kuule
ja	ja
õõ	õ
kohe	kohe
kuidagi	kud'agi
mina	ma
ei	i
saama	saa
ja	ja
kust	kost
mina	mina
tasuma	tasun
need	ned
vaevalt	`vaevalt
saama	saame
leib	leibä
vana	vana
ema	jemäga
õhõh	õhõh
nüüd	nüid
kuidas	kuda
meie	me
saama	saame
vaevalt	vaevalt
leib	leibä
ja	ja
nüüd	nüit
kust	kust
mina	ma
see	sedä
jõudma	jõvva
tasuma	tasuda
et	et
mis	mess
mina	must
ikka	ikki
saama	`saab
itkema	`iknu
seal	sääl
ikka	ikki
oh	ohh
jumal	jummal
küll	küll
et	et
mis	mess
mina	must
ikka	ikki
saama	saab
käsi	kjäe
olema	ollu
koos	kuun
jah	jah
ajama	aet
too	tuu
uks	us's'
valla	`valla
jah	jahh
tulema	tulluva
preili	preili
kolmekesi	kolmeksti
välja	`väl'lä
olema	ol'li
ütlema	üttelnuva
isa	esä
mis	mes
sina	sa
itkema	ikked
ja	ja
mis	mess
mina	miä
itkema	ikke
preili+ke	preilikse
no	no
naad	na
teadma	teisiva
kõik	kõik
et	et
seal	säl
preili	preilid
olema	ol'live
ja	ja
käima	käesive
et	et
mis	mess
mina	miä
itkema	ikken
nägema	näe
et	et
kott	kotti
ära	ärä
varastama	varastettuva
ja	ja
kust	kost
mina	minä
jõudma	jõvvan
maksma	`massa
mina	ma
ei	i
jõudma	jõvva
vaevalt	vaevalt
saama	saame
leib	`leibä
veel	viil
pala	pala
leib	`leibä
ja	ja
